Time	B-Measure_Type
Efficient	O
Method	O
for	O
Washing	B-Action
15	B-Amount
mL	I-Amount
Vials	B-Location

Arrange	B-Action
vials	B-Location
so	O
that	O
they	B-Mention
all	O
sit	B-Action
upright	O
in	O
a	O
large	B-Modifier
plastic	B-Seal
cage	I-Seal
.	O

I	B-Method
’ve	I-Method
found	I-Method
you	O
can	O
usually	O
fit	O
about	O
60	B-Generic_Measure
vials	B-Location
(	O
a	O
bit	O
more	O
than	O
one	B-Location
bag	I-Location
)	O
into	O
a	O
single	B-Location
cage	I-Location
.	O

Place	B-Action
caps	B-Seal
into	O
a	O
small	O
cage	O
.	O

Place	B-Action
cages	O
upright	O
into	O
a	O
soap	B-Action
bath	B-Location
overnight	B-Time
.	O

Place	B-Action
a	O
large	B-Size
piece	B-Location
of	O
PTFE	B-Reagent
over	O
the	O
cages	O
to	O
keep	B-Action
them	B-Mention
submerged	B-Action
.	O

Remove	B-Action
cages	O
from	O
soap	B-Action
,	O
and	O
rinse	B-Action
thoroughly	B-Modifier
7	B-pH
times	O
to	O
remove	B-Action
soap	O
.	O

It	O
’s	O
important	O
to	O
make	O
sure	O
that	O
water	B-Reagent
gets	I-Reagent
into	O
each	O
individual	O
vial	B-Location
,	O
so	O
move	B-Action
the	O
cage	B-Method
back	I-Method
and	I-Method
forth	I-Method
until	O
each	O
of	O
the	O
vials	B-Location
is	O
at	O
least	O
partially	O
filled	O
.	O

When	O
pouring	B-Action
the	O
water	B-Reagent
back	O
out	O
,	O
make	O
sure	O
to	O
shake	B-Action
the	O
cage	O
so	O
that	O
in	O
interior	O
of	O
all	O
the	O
vials	B-Location
is	O
rinsed	B-Action
.	O

Rinse	B-Action
the	O
outsides	B-Location
in	O
between	O
rinsing	B-Action
the	O
vial	B-Location
interiors	I-Location
.	O

Place	B-Action
cages	O
upright	O
into	O
a	O
1N	B-Concentration
HCl	B-Reagent
bath	I-Reagent
.	O

Once	O
or	O
twice	B-Numerical
during	O
the	O
week	O
,	O
invert	B-Action
and/or	O
rotate	B-Action
all	O
of	O
the	O
cages	O
(	O
vials	B-Seal
and	I-Seal
caps	I-Seal
)	O
to	O
make	O
sure	O
all	O
surfaces	B-Location
are	O
exposed	B-Modifier
.	O

Remove	B-Action
vials	B-Location
and	O
caps	B-Seal
from	O
the	O
bath	B-Location
and	O
rinse	B-Action
each	B-Modifier
cage	I-Modifier
7	B-pH
times	O
to	O
remove	B-Action
most	O
of	O
the	O
HCl	B-Reagent
.	O

Clean	B-Action
an	O
area	O
in	O
the	O
drying	O
bench	B-Location
with	O
a	O
clean	B-Modifier
wipe	B-Action
,	O
and	O
place	B-Action
cages	O
into	O
the	O
drying	O
bench	B-Location
.	O

With	O
thoroughly	B-Modifier
cleaned	B-Action
and	O
rinsed	B-Action
poly	B-Modifier
gloves	B-Device
,	O
remove	B-Action
each	B-Modifier
vial	B-Location
from	O
the	O
cage	O
and	O
individually	O
rinse	B-Action
the	O
vial	B-Location
plus	O
one	O
cap	B-Seal
three	B-Numerical
times	O
.	O

Stand	B-Action
in	O
front	O
of	O
the	O
flow	B-Location
bench	I-Location
to	O
shake	B-Action
out	I-Action
excess	B-Reagent
water	I-Reagent
,	O
cap	B-Location
vial	I-Location
,	O
and	O
place	B-Action
in	O
a	O
bag	B-Location
for	O
storage	O
.	O



