MojoSort™	B-Method
Positive	I-Method
Selection	I-Method
Columns	I-Method
Protocol	I-Method

Prepare	B-Action
a	O
single	B-Numerical
cell	B-Reagent
suspension	I-Reagent
and	O
resuspend	B-Action
the	O
cells	B-Reagent
with	O
ice	B-Modifier
cold	I-Modifier
cell	B-Reagent
separation	I-Reagent
buffer	I-Reagent
(	I-Reagent
MojoSort™buffer	I-Reagent
is	O
recommended	O
)	O
.	O

Pass	B-Action
the	O
cells	B-Reagent
through	O
a	O
70	B-Size
μm	I-Size
filter	B-Device
,	O
centrifuge	B-Action
(	O
300	B-Speed
x	I-Speed
g	I-Speed
for	O
5	B-Time
minutes	I-Time
)	O
,	O
discard	B-Action
the	O
supernatant	B-Reagent
and	O
resuspend	B-Action
the	O
cells	B-Reagent
in	O
cell	B-Reagent
separation	I-Reagent
buffer	I-Reagent
.	O

Adjust	B-Action
the	O
cell	B-Reagent
concentration	B-Measure-Type
to	O
1	B-Concentration
x	I-Concentration
108	I-Concentration
cells/mL	I-Concentration
.	O

Aliquot	B-Action
100	B-Amount
μL	I-Amount
(	O
107	B-Numerical
cells	B-Reagent
)	O
into	O
a	O
new	B-Modifier
tube	B-Location
.	O

Vortex	B-Action
the	O
antibody-conjugated	B-Modifier
Nanobeads	B-Reagent
(	O
to	O
resuspend	B-Action
)	O
at	O
max	B-Speed
speed	I-Speed
,	O
5	B-Generic-Measure
touches	I-Generic-Measure
,	O
and	O
prepare	B-Action
the	O
dilutions	B-Reagent
to	O
test	O
.	O

Add	B-Action
10	B-Amount
μL	I-Amount
of	O
pre-diluted	B-Modifier
conjugated	I-Modifier
Nanobeads	B-Reagent
.	O

Mix	B-Action
well	B-Modifier
and	O
incubate	B-Action
on	O
ice	B-Location
for	O
15	B-Time
minutes	I-Time
.	O

Scale	B-Action
up	I-Action
the	O
volume	B-Measure-Type
accordingly	O
if	O
separating	B-Action
more	O
cells	B-Reagent
.	O

For	O
example	O
,	O
add	B-Action
100	B-Amount
μL	I-Amount
of	O
pre-diluted	B-Modifier
Nanobeads	B-Reagent
for	O
1	B-Numerical
x	I-Numerical
108	I-Numerical
cells	B-Reagent
.	O

When	O
working	B-Action
with	O
less	B-Modifier
than	I-Modifier
107	B-Numerical
cells	B-Reagent
,	O
use	O
indicated	O
volumes	B-Measure-Type
for	O
107	B-Numerical
cells	B-Reagent
.	O

Note	O
:	O
Depending	O
on	O
the	O
conjugated	O
nanobead	O
you	O
are	O
using	O
,	O
a	O
wash	B-Action
step	O
may	O
be	O
required	O
here	O
.	O

Resuspend	B-Action
the	O
cells	B-Reagent
in	O
appropriate	B-Modifier
amount	B-Amount
of	O
buffer	B-Reagent
.	O

At	B-Modifier
least	I-Modifier
500	B-Amount
μL	I-Amount
is	O
needed	O
for	O
column	B-Location
separation	I-Location
.	O

Note	O
:	O
There	O
are	O
several	B-Numerical
types	O
of	O
commercially	B-Modifier
available	I-Modifier
columns	B-Location
,	O
depending	O
on	O
your	O
application	O
,	O
choose	O
the	O
one	O
that	O
fits	O
best	O
your	O
experiment	O
.	O

See	O
'Guidelines	O
'	O
for	O
choosing	B-Action
a	O
column	B-Location
for	O
your	O
experiment	O
.	O



