First	B-Method
Strand	I-Method
cDNA	I-Method
Synthesis	I-Method
(	O
M0368	O
)	O

In	O
a	O
sterile	B-Modifier
microfuge	B-Location
tube	I-Location
add	B-Action
:	O

Add	B-Action
the	O
following	O
(	O
bringing	B-Action
to	O
20	B-Amount
L	I-Amount
final	B-Modifier
volume	B-Measure_Type
)	O
:	O

Incubate	B-Action
at	O
42	B-Temperature
C	I-Temperature
for	O
30min-1hr	B-Time
.	O

Inactivate	B-Action
enzyme	B-Reagent
at	O
80	B-Temperature
C	I-Temperature
for	O
5	B-Time
minutes	I-Time
.	O

Store	B-Action
products	B-Reagent
at	O
-20	B-Temperature
C	I-Temperature
or	O
proceed	B-Action
to	O
next	O
step	O
(	O
s	O
)	O



