Time	B-Measure_Type
Efficient	I-Measure_Type
Method	O
for	O
Washing	B-Action
15	B-Amount
mL	I-Amount
Vials	B-Reagent

Arrange	B-Action
vials	B-Location
so	O
that	O
they	B-Mention
all	O
sit	B-Action
upright	O
in	O
a	O
large	B-Size
plastic	B-Location
cage	I-Location
.	O

I	O
ve	B-Method
found	I-Method
you	O
can	O
usually	B-Modifier
fit	I-Modifier
about	O
60	B-Size
vials	B-Location
(	O
a	B-Modifier
bit	I-Modifier
more	I-Modifier
than	I-Modifier
one	B-Numerical
bag	B-Location
)	O
into	O
a	O
single	B-Numerical
cage	O
.	O

Place	B-Action
caps	B-Seal
into	O
a	O
small	O
cage	O
.	O

Place	B-Action
cages	O
upright	O
into	O
a	O
soap	B-Location
bath	I-Location
overnight	B-Time
.	O

Place	B-Action
a	O
large	B-Size
piece	B-Location
of	O
PTFE	B-Method
over	I-Method
the	O
cages	O
to	O
keep	B-Action
them	B-Mention
submerged	B-Action
.	O

Remove	B-Action
cages	O
from	O
soap	B-Location
,	O
and	O
rinse	B-Action
thoroughly	B-Modifier
7	B-Numerical
times	O
to	O
remove	B-Action
soap	B-Reagent
.	O

It	O
s	O
important	O
to	O
make	O
sure	O
that	O
water	B-Reagent
gets	O
into	O
each	O
individual	O
vial	B-Location
,	O
so	O
move	B-Action
the	O
cage	O
back	B-Method
and	I-Method
forth	I-Method
until	O
each	O
of	O
the	O
vials	B-Location
is	O
at	O
least	O
partially	O
filled	B-Action
.	O

When	O
pouring	B-Action
the	O
water	B-Reagent
back	O
out	O
,	O
make	O
sure	O
to	O
shake	B-Action
the	O
cage	O
so	O
that	O
in	O
interior	O
of	O
all	O
the	O
vials	B-Location
is	O
rinsed	B-Action
.	O

Rinse	B-Action
the	O
outsides	O
in	O
between	O
rinsing	B-Action
the	O
vial	B-Location
interiors	I-Location
.	O

Place	B-Action
cages	O
upright	O
into	O
a	O
1N	B-Concentration
HCl	B-Reagent
bath	I-Reagent
.	O

Once	O
or	O
twice	B-Numerical
during	O
the	O
week	O
,	O
invert	B-Action
and/or	O
rotate	B-Action
all	O
of	O
the	O
cages	O
(	O
vials	B-Location
and	O
caps	B-Seal
)	O
to	O
make	O
sure	O
all	O
surfaces	B-Location
are	O
exposed	B-Modifier
.	O

Remove	B-Action
vials	B-Location
and	O
caps	B-Seal
from	O
the	O
bath	B-Location
and	O
rinse	B-Action
each	B-Modifier
cage	B-pH
7	I-pH
times	O
to	O
remove	B-Action
most	O
of	O
the	O
HCl	B-Reagent
.	O

Clean	B-Action
an	O
area	B-Location
in	O
the	O
drying	O
bench	B-Location
with	O
a	O
clean	B-Modifier
wipe	B-Action
,	O
and	O
place	B-Action
cages	O
into	O
the	O
drying	O
bench	B-Location
.	O

With	O
thoroughly	B-Modifier
cleaned	I-Modifier
and	I-Modifier
rinsed	I-Modifier
poly	I-Modifier
gloves	B-Device
,	O
remove	B-Action
each	B-Modifier
vial	B-Location
from	O
the	O
cage	O
and	O
individually	B-Modifier
rinse	B-Action
the	O
vial	B-Location
plus	O
one	B-Numerical
cap	B-Seal
three	B-Numerical
times	O
.	O

Stand	B-Action
in	O
front	O
of	O
the	O
flow	B-Location
bench	I-Location
to	O
shake	B-Action
out	I-Action
excess	B-Modifier
water	B-Reagent
,	O
cap	B-Seal
vial	B-Location
,	O
and	O
place	B-Action
in	O
a	O
bag	B-Location
for	O
storage	O
.	O



