Transformation	B-Method
and	O
Storage	B-Reagent
Solution	I-Reagent
(	O
TSS	B-Reagent
)	O

ChemicalVolume/MassFinal	B-Reagent
Conc.PEG	I-Reagent
8000	I-Reagent
or	O
PEG	B-Reagent
335020	B-Concentration
g20	I-Concentration
%	I-Concentration
(	O
w/v	B-Measure-Type
)	O
DMSO10	B-Reagent
ml10	B-Concentration
%	I-Concentration
(	O
w/v	B-Measure-Type
)	O
MgCl2	B-Reagent
*	O
H2O2.03	B-Reagent
g100	I-Reagent
mMLB	I-Reagent
Mediumadd	I-Reagent
100	B-Amount
ml	I-Amount
(	O
pH	B-pH
6.5	I-pH
)	O
.	O

Prepare	B-Action
2x	B-Concentration
TSS	B-Reagent
without	O
DMSO	B-Reagent
and	O
autoclave	B-Device
.	O

Add	B-Action
sterile	B-Modifier
DMSO	B-Reagent
after	O
autoclaving	B-Action
.	O

Divide	B-Action
in	O
10	B-Amount
ml	I-Amount
aliquots	B-Reagent
and	O
store	B-Action
at	O
4	B-Temperature
°C	I-Temperature
.	O



