Plaque	B-Method
Assay	I-Method
Protocol	I-Method
for	O
Pseudoalteromonas	B-Reagent

First	O
,	O
autoclave	B-Device
the	O
top	B-Reagent
agar	I-Reagent
to	O
melt	B-Action
it	B-Mention
.	O

While	O
the	O
autoclave	B-Device
is	O
running	O
:	O

a	O
.	O
Let	O
your	O
plates	B-Location
warm	B-Action
to	O
room	B-Temperature
temperature	I-Temperature
and	O
label	B-Action
them	B-Mention

b	O
.	O
Make	O
whatever	O
dilutions	B-Reagent
of	O
your	O
phages	B-Reagent
you	O
plan	O
to	O
plate	B-Location
.	O

Aliquot	B-Action
the	O
agar	B-Reagent
into	O
tubes	B-Location
and	O
place	B-Action
in	O
40	B-Temperature
C	I-Temperature
water	B-Location
bath	I-Location
.	O

Pipet	B-Action
100	B-Amount
l	I-Amount
of	O
your	O
phage	B-Reagent
sample	I-Reagent
onto	O
the	O
plate	B-Location
.	O

Remove	B-Action
the	O
agar	B-Location
tube	I-Location
from	O
the	O
water	B-Location
bath	I-Location
and	O
add	B-Action
the	O
host	B-Reagent
to	O
it	B-Mention
.	O

Add	B-Action
3.5	B-Amount
ml	I-Amount
of	O
the	O
agar/host	B-Reagent
mixture	I-Reagent
.	O

Swirl	B-Action
each	B-Modifier
plate	B-Location
to	O
spread	B-Action
the	O
agar	B-Reagent
as	O
you	O
go	O
.	O

Leave	B-Action
the	O
plates	B-Location
on	O
the	O
bench	B-Location
overnight	B-Time
.	O

Count	B-Action
or	O
pick	B-Action
plaques	B-Reagent
the	O
next	B-Time
day	I-Time
.	O



