BetaMark	B-Device
x-40	I-Device
ELISA	I-Device
Kit	I-Device
(	O
Colorimetric	B-Location
)	O
Protocol	O

Label	B-Action
(	O
2	O
)	O
1.5mL	B-Amount
microcentrifuge	B-Location
tubes	I-Location
as	O
intermediate	O
#	O
1	O
&	O
2	O
.	O

(	O
use	O
enclosed	B-Modifier
tubes	B-Location
)	O
Add	B-Action
990uL	B-Amount
of	O
standard	B-Reagent
diluent	I-Reagent
to	O
intermediate	B-Location
tubes	I-Location
#	I-Location
1	I-Location
&	O
2	O
.	O

Reconstitute	B-Action
one	B-Numerical
20ug	B-Amount
vial	B-Location
of	O
1-40	B-Numerical
standard	O
with	O
80uL	B-Amount
of	O
Standard	B-Reagent
Diluent	I-Reagent
.	O

Mix	B-Action
well	B-Modifier
by	O
inversion	B-Method
,	O
do	O
not	O
vortex.Concentration	B-Method
will	O
be	O
250ug/mL	B-Concentration
.	O

Incubate	B-Action
30	B-Time
minutes	I-Time
at	O
room	B-Temperature
temperature	I-Temperature
Note	O
:	O
During	O
30	B-Time
minute	I-Time
incubation	B-Method
;	O
proceed	B-Action
thru	I-Action
appropriate	B-Modifier
sections	B-Reagent
below	O
(	O
e.g	O
.	O
sections	B-Reagent
2	I-Reagent
,	O
3	O
and	O
4	O
)	O
.	O

After	O
30	B-Time
minutes	I-Time
incubation	B-Method
,	O
mix	B-Action
well	B-Modifier
by	O
inversion	B-Method
,	O
do	O
not	O
vortex	B-Action
.	O

Once	O
reconstituted	B-Modifier
,	O
standard	O
must	O
be	O
used	O
within	O
the	O
same	B-Time
day	I-Time
.	O

Add	B-Action
10uL	B-Amount
from	O
the	O
vial	B-Location
of	O
reconstituted	B-Reagent
1-40	I-Reagent
standard	I-Reagent
to	O
990uL	B-Amount
of	O
standard	B-Reagent
diluent	I-Reagent
in	O
intermediate	B-Location
tube	I-Location
#	I-Location
1	I-Location
.	O

Mix	B-Action
well	B-Modifier
by	O
inversion	B-Method
,	O
do	O
not	O
vortex	B-Action
.	O

Remove	B-Action
10uL	B-Amount
from	O
intermediate	B-Location
#	I-Location
1	I-Location
tube	I-Location
and	O
add	B-Action
to	O
990uL	B-Amount
of	O
standard	B-Reagent
diluent	I-Reagent
in	O
intermediate	B-Location
#	I-Location
2	I-Location
tube	I-Location
.	O

Mix	B-Action
well	B-Modifier
by	O
inversion	B-Method
,	O
do	O
not	O
vortex	B-Action
The	O
final	O
concentration	B-Measure_Type
of	O
standard	O
in	O
intermediate	B-Location
tube	I-Location
#	I-Location
2	I-Location
will	O
be	O
25ng/mL	B-Concentration
.	O

Label	B-Action
a	O
50mL	B-Amount
centrifuge	B-Location
tube	I-Location
as	O
1X	B-Concentration
Incubation	B-Reagent
Buffer	I-Reagent
.	O

Dilute	B-Action
2X	B-Numerical
Incubation	B-Reagent
buffer	I-Reagent
to	O
1X	B-Concentration
by	O
adding	B-Action
10mL	B-Amount
of	O
2X	B-Concentration
incubation	B-Reagent
buffer	I-Reagent
to	O
10mL	B-Amount
of	O
lab	B-Reagent
grade	I-Reagent
water*	I-Reagent
in	O
the	O
50mL	B-Amount
tube	B-Location
labeled	B-Modifier
1X	B-Concentration
Incubation	B-Reagent
Buffer	I-Reagent
.	O

*Note	O
:	O
Lab	B-Modifier
grade	I-Modifier
filtered	I-Modifier
water	B-Reagent
such	O
as	O
injection	B-Modifier
grade	I-Modifier
,	I-Modifier
cell	I-Modifier
culture	I-Modifier
grade	I-Modifier
,	O
Reverse	B-Method
Osmosis	I-Method
De-Ionization	I-Method
(	O
RODI	B-Method
)	O
.	O

Mix	B-Action
well	B-Modifier
by	O
vortexing	B-Action
.	O

This	O
will	O
be	O
diluent	B-Reagent
for	O
the	O
standard	O
curve	O
and	O
samples	B-Reagent
.	O

Label	B-Action
a	O
1L	B-Amount
container	B-Location
1X	B-Concentration
Wash	B-Reagent
buffer	I-Reagent
.	O

Dilute	B-Action
5X	B-Concentration
wash	B-Reagent
buffer	I-Reagent
to	O
1X	B-Concentration
for	O
use	O
.	O

Mix	B-Action
125mL	B-Amount
of	O
5X	B-Concentration
Wash	B-Reagent
buffer	I-Reagent
with	O
500mL	B-Amount
of	O
lab	B-Reagent
grade	I-Reagent
water	I-Reagent
for	O
a	O
total	O
volume	B-Measure_Type
of	O
625mL	B-Amount
.	O

Label	B-Action
(	O
8	O
)	O
1.5mL	B-Amount
microcentrifuge	B-Location
tubes	I-Location
as	O
#	O
1-8	O
(	O
use	O
enclosed	B-Modifier
tubes	B-Location
)	O
.	O

Aliquot	B-Action
240uL	B-Amount
of	O
the	O
1X	B-Concentration
incubation	B-Reagent
buffer	I-Reagent
(	O
made	O
previously	O
in	O
step	O
II	O
)	O
to	O
each	O
of	O
the	O
standard	O
curve	O
tubes	B-Location
(	O
#	O
2-8	O
)	O
and	O
490uL	B-Amount
to	O
tube	B-Location
#	I-Location
1	I-Location
(	I-Location
standard	I-Location
curve	I-Location
top	I-Location
point	I-Location
)	O
.	O

Remove	B-Action
10uL	B-Amount
from	O
intermediate	O
#	O
2	O
and	O
add	B-Action
to	O
490uL	B-Amount
1X	B-Concentration
incubation	B-Reagent
buffer	I-Reagent
in	O
tube	B-Location
#	I-Location
1	I-Location
(	O
this	O
will	O
be	O
the	O
top	B-Location
point	I-Location
of	O
the	O
standard	O
curve	O
,	O
final	O
concentration	B-Measure_Type
will	O
be	O
250pg/mL	B-Concentration
.	O

Mix	B-Action
well	B-Modifier
by	O
inversion	B-Method
,	O
do	O
not	O
vortex	B-Action
.	O

Continue	O
making	O
1.8	B-Generic_Measure
fold	I-Generic_Measure
serial	B-Method
dilutions	I-Method
by	O
adding	B-Action
300uL	B-Amount
of	O
the	O
previous	O
dilution	B-Reagent
to	O
240uL	B-Amount
of	O
1X	B-Concentration
incubation	B-Reagent
buffer	I-Reagent
in	O
tubes	B-Location
#	I-Location
2-7	I-Location
.	O

Mix	B-Action
well	B-Modifier
by	O
inversion	B-Method
between	O
each	B-Modifier
dilution	B-Reagent
.	O

Dilute	B-Action
samples	B-Reagent
in	O
1X	B-Concentration
incubation	B-Reagent
buffer	I-Reagent
to	O
2X	B-Concentration
concentration	I-Concentration
.	O

Mix	B-Action
well	B-Modifier
by	O
inversion	B-Method
.	O

For	O
example	O
,	O
if	O
the	O
final	B-Modifier
sample	B-Reagent
dilution	I-Reagent
should	O
be	O
1:10	B-Concentration
,	O
dilute	B-Action
the	O
sample	B-Reagent
1:5	B-Concentration
in	O
1X	B-Concentration
incubation	B-Reagent
buffer	I-Reagent
.	O

The	O
sample	B-Reagent
will	O
then	O
be	O
diluted	B-Modifier
1:2	B-Concentration
in	O
step	O
VII	O
for	O
a	O
final	O
dilution	B-Measure_Type
factor	I-Measure_Type
of	O
1:10	B-Concentration
.	O

Run	B-Action
samples	B-Reagent
in	O
