Alpha-Synuclein	B-Device
ELISA	I-Device
Kit	I-Device
Protocol	O

Notes	O
:	O
Allow	O
kit	B-Reagent
components	I-Reagent
to	O
be	O
brought	B-Action
to	O
room	B-Temperature
temperature	I-Temperature
before	O
use	O
.	O

Label	B-Action
a	O
1L	B-Amount
bottle	B-Location
as	O
“	O
1X	B-Concentration
Wash	B-Reagent
Buffer	I-Reagent
”	O
.	O

Dilute	B-Action
5X	B-Concentration
Wash	B-Reagent
Buffer	I-Reagent
1:5	B-Concentration
using	O
lab	B-Modifier
grade	I-Modifier
water	B-Reagent
*	O
and	O
mix	B-Action
well	B-Modifier
.	O

*	O
Note	O
:	O
Lab	B-Modifier
grade	I-Modifier
filtered	I-Modifier
water	B-Reagent
such	O
as	O
injection	B-Modifier
grade	I-Modifier
,	O
cell	B-Modifier
culture	I-Modifier
grade	I-Modifier
,	O
Reverse	B-Method
Osmosis	I-Method
De-Ionization(RODI	I-Method
)	O
.	O

Label	B-Action
an	O
appropriate	B-Modifier
sized	B-Size
bottle	B-Location
as	O
“	O
1X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
”	O
.	O

Dilute	B-Action
2X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
to	O
1X	B-Concentration
by	O
adding	B-Action
30mL	B-Amount
of	O
2X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
to	O
30mL	B-Amount
of	O
lab	B-Reagent
grade	I-Reagent
waterin	I-Reagent
the	O
bottle	B-Location
labeled	O
“	O
1X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
”	O
.	O

Mix	B-Action
well	B-Modifier
by	O
vortex	B-Method
.	O

Reconstitute	B-Action
lyophilized	B-Reagent
standard	I-Reagent
with	O
50μL	B-Amount
of	O
lab	B-Modifier
grade	I-Modifier
water	B-Reagent
and	O
mix	B-Action
well	B-Modifier
by	O
vortex	B-Method
.	O

Theconcentration	B-Measure-Type
after	O
reconstitution	B-Method
will	O
be	O
500μg/mL	B-Concentration
.	O

Label	B-Action
(	O
2	B-Numerical
)	O
1.5	B-Amount
mL	I-Amount
microcentrifuge	B-Location
tubes	I-Location
as	O
intermediate	B-Location
#1	I-Location
&	O
intermediate	B-Location
#2	I-Location
.	O

Aliquot	B-Action
990μL	B-Amount
of	O
1X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
into	O
intermediate	B-Location
#1	I-Location
&	O
intermediate	B-Location
#2	I-Location
tubes	O
.	O

Remove	B-Action
10μL	B-Amount
from	O
the	O
vial	B-Location
of	O
reconstituted	B-Reagent
standard	I-Reagent
and	O
add	B-Action
to	O
990μL	B-Amount
of	O
1X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
inintermediate	B-Location
tube	I-Location
#1	I-Location
.	O

Mix	B-Action
well	B-Modifier
by	O
vortex	B-Method
.	O

Remove	B-Action
10μL	B-Amount
from	O
intermediate	B-Location
#1	I-Location
and	O
add	B-Action
to	O
990μL	B-Amount
of	O
1X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
in	O
intermediate	B-Location
#2tube	I-Location
.	O

Mix	B-Action
well	B-Modifier
by	O
vortex	B-Method
.	O

The	O
final	O
concentration	B-Measure-Type
of	O
intermediate	B-Location
tube	I-Location
#2	I-Location
will	O
be	O
50ng/mL	B-Concentration
.	O

Label	B-Action
(	O
8	B-Numerical
)	O
1.5	B-Amount
mL	I-Amount
microcentrifuge	B-Location
tubes	I-Location
as	O
#1	O
-8	O
.	O

Add	B-Action
1280μL	B-Amount
of	O
1X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
to	O
tube	B-Location
#1	I-Location
and	O
825μL	B-Amount
of	O
1X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
to	O
tubes	B-Location
#2	I-Location
-8	I-Location
.	O

Remove	B-Action
40μL	B-Amount
from	O
intermediate	B-Location
#2	I-Location
and	O
add	B-Action
to	O
1280μL	B-Amount
of	O
1X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
in	O
tube	B-Location
#1	I-Location
.	O

Mix	B-Action
well	B-Modifier
by	O
vortex	B-Method
(	O
this	O
will	O
be	O
the	O
top	O
point	O
of	O
the	O
standard	O
curve	O
,	O
1500pg/mL	B-Concentration
)	O
.	O

Remove	B-Action
550μL	B-Amount
from	O
tube	B-Location
#1	I-Location
and	O
add	B-Action
to	O
825μL	B-Amount
of	O
1X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
in	O
tube	B-Location
#2	I-Location
.	O

Mix	B-Action
well	B-Modifier
by	O
vortex	B-Method
.	O

Continue	O
making	O
2.5	B-Numerical
fold	O
serial	B-Method
dilutions	I-Method
by	O
adding	B-Action
550μL	B-Amount
of	O
the	O
previous	O
dilution	B-Reagent
to	O
825μL	B-Amount
of	O
1XReagent	B-Concentration
Diluent	B-Reagent
in	O
tubes	B-Location
#3	I-Location
-7	I-Location
.	O

Mix	B-Action
well	B-Modifier
by	O
vortex	B-Method
between	O
each	O
dilution	B-Method
.	O

Note	O
:	O
Tube	B-Location
#8	I-Location
will	O
be	O
the	O
zero	B-Reagent
or	O
blank	B-Reagent
sample	I-Reagent
and	O
should	O
only	O
contain	O
1X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
Dilute	I-Reagent
samples	I-Reagent
in	O
1X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
.	O

Mix	B-Action
each	O
dilution	B-Reagent
by	O
vortexing	B-Method
3	B-Time
X	I-Time
2	I-Time
seconds	I-Time
.	O

Run	B-Action
samples	B-Reagent
in	O
duplicate	O
or	O
triplicate	O
.	O

Note	O
:	O
It	O
is	O
good	O
practice	O
to	O
run	B-Action
at	B-Modifier
least	I-Modifier
2	B-Numerical
dilutions	B-Method
for	O
each	O
sample	B-Reagent
to	O
ensure	O
one	B-Numerical
of	O
the	O
dilutions	B-Method
fallswithin	O
the	O
linear	O
range	O
of	O
the	O
standard	O
curve	O
.	O

We	O
recommend	O
a	O
minimum	O
