OmniPrep	B-Method
for	O
Fungus	B-Reagent

To	O
avoid	O
repeated	O
freezing	B-Action
thaw	I-Action
,	O
dispense	B-Action
the	O
Proteinase	B-Reagent
K	I-Reagent
solution	I-Reagent
into	O
aliquots	O
of	O
30	B-Amount
l/tube	I-Amount
and	O
freeze	B-Action
at	O
20	B-Temperature
C	I-Temperature
.	O

If	O
a	O
precipitate	B-Reagent
forms	B-Action
due	O
to	O
cold	O
storage	O
allow	B-Action
to	O
warm	B-Action
to	O
room	B-Temperature
temperature	I-Temperature
until	O
precipitate	B-Reagent
dissolves	B-Action
.	O

Centrifuge	B-Action
the	O
Molecular	B-Location
Grinding	I-Location
Resin	I-Location
tube	I-Location
for	B-Time
2	I-Time
minutes	I-Time
at	O
2,500x	B-Speed
g	I-Speed
and	O
remove	B-Action
the	O
water	B-Reagent
.	O

Add	B-Action
0.5ml	B-Amount
Genomic	B-Reagent
Lysis	I-Reagent
Buffer	I-Reagent
.	O

Collect	B-Action
fungal	B-Reagent
tissue	I-Reagent
from	O
liquid	B-Location
culture	I-Location
and	O
wash	B-Action
2	B-Numerical
3	I-Numerical
times	O
in	O
sterile	B-Location
water	I-Location
.	O

Fungal	B-Reagent
mycelia	I-Reagent
are	O
best	O
prepared	O
by	O
grinding	B-Action
samples	B-Reagent
using	O
Molecular	B-Device
GrindingResin	I-Device
in	O
Genomic	B-Reagent
Lysis	I-Reagent
Buffer	I-Reagent
.	O

Add	B-Action
10	B-Amount
20mg	I-Amount
fungal	B-Reagent
mycelia	I-Reagent
to	O
a	O
microcentrifuge	B-Location
tube	I-Location
containing	O
500	B-Amount
l	I-Amount
Genomic	B-Reagent
Lysis	I-Reagent
Buffer	I-Reagent
.	O

Resuspend	B-Action
Molecular	B-Reagent
Grinding	I-Reagent
Resin	I-Reagent
by	O
vigorous	B-Modifier
mixing	B-Action
or	O
vortexing	B-Action
.	O

Add	B-Action
30	B-Amount
l	I-Amount
Molecular	B-Reagent
Grinding	I-Reagent
Resin	I-Reagent
