Stellaris®	B-Method
RNA	I-Method
FISH	I-Method
Protocol	O
for	O
Frozen	B-Reagent
Tissue
	I-Reagent

Frozen	B-Reagent
tissue	I-Reagent
must	O
be	O
sliced	B-Action
at	O
a	O
thickness	B-Measure-Type
of	O
4-10	B-Size
μm	I-Size
using	O
a	O
cryostat	B-Device
and	O
mounted	B-Action
onto	O
a	O
microscope	B-Location
slide.
	I-Location

Thaw	B-Action
the	O
slide-mounted	B-Modifier
tissue	B-Reagent
section	I-Reagent
to	O
room	B-Temperature
temperature.
	I-Temperature

Immerse	B-Action
the	O
slide	B-Location
in	O
fixation	B-Reagent
buffer	I-Reagent
for	O
10	B-Time
minutes	I-Time
at	O
room	B-Temperature
temperature.
	I-Temperature

Wash	B-Action
with	O
1	B-Amount
mL	I-Amount
of	O
1X	B-Concentration
PBS	B-Reagent
for	O
2-5	B-Time
minutes.
	I-Time

Wash	B-Action
again	B-Modifier
with	O
1	B-Amount
mL	I-Amount
of	O
1X	B-Concentration
PBS	B-Reagent
for	O
2-5	B-Time
minutes.
	I-Time

To	O
permeabilize	B-Action
the	O
tissue	B-Reagent
section,	I-Reagent
immerse	B-Action
the	O
slide	B-Location
in	O
70%	B-Concentration
ethanol	B-Reagent
for	O
at	B-Modifier
least	I-Modifier
1	B-Time
hour	I-Time
at	O
room	B-Location
temperature.
	I-Location

If	O
frozen	O
before	O
using,	O
warm	B-Action
the	O
reconstituted	B-Reagent
probe	I-Reagent
solution	I-Reagent
to	O
room	B-Temperature
temperature.
	I-Temperature

Mix	B-Action
well	B-Modifier
by	O
vortexing,	B-Action
then	O
centrifuge	B-Action
briefly.
	B-Modifier

To	O
prepare	B-Action
the	O
Hybridization	B-Reagent
Buffer	I-Reagent
containing	I-Reagent
probe,	I-Reagent
add	B-Action
1	B-Amount
µL	I-Amount
of	O
probe	B-Reagent
stock	I-Reagent
solution	I-Reagent
to	O
100	B-Amount
µL	I-Amount
of	O
Hybridization	B-Reagent
Buffer,	I-Reagent
and	O
then	O
vortex	B-Action
and	O
centrifuge,	B-Action
which	O
is	O
enough	O
for	O
one	O
coverslip.
	B-Location

This	O
creates	B-Action
a	O
working	B-Reagent
