Recovery	B-Method
of	O
DNA	B-Reagent
from	O
Low	B-Modifier
Melting	I-Modifier
Point	I-Modifier
Agarose	B-Reagent

Low	B-Modifier
melting	I-Modifier
point	I-Modifier
agarose	B-Reagent
gels	I-Reagent
should	O
be	O
poured	B-Action
and	O
allowed	O
to	O
set	B-Action
up	I-Action
in	O
the	O
cold	B-Temperature
room	I-Temperature
,	O
but	O
electrophoresed	B-Action
at	O
room	B-Temperature
temperature	I-Temperature
.	O

The	O
gels	B-Reagent
should	O
be	O
stained	B-Action
at	O
4	B-Temperature
C	I-Temperature
and	O
kept	B-Action
cold	I-Action
until	O
ready	O
to	O
cut	B-Action
out	I-Action
the	O
DNA	B-Reagent
bands	I-Reagent
from	O
the	O
gel	B-Reagent
.	O

Cut	B-Action
out	I-Action
the	O
DNA	B-Reagent
bands	I-Reagent
from	O
the	O
gel	B-Reagent
with	O
new	B-Modifier
razor	B-Device
blades	I-Device
.	O

Use	B-Action
a	O
new	B-Modifier
razor	B-Device
blade	I-Device
for	O
each	O
band	B-Reagent
.	O

Place	B-Action
the	O
agarose	B-Reagent
pieces	I-Reagent
into	O
sterile	B-Location
capped	I-Location
tubes	I-Location
the	O
size	B-Measure-Type
of	I-Measure-Type
the	O
tubes	B-Location
depends	I-Location
on	O
the	O
volume	B-Measure-Type
of	I-Measure-Type
the	O
agarose	B-Reagent
involved	I-Reagent
.	O

Add	B-Action
1X	B-Concentration
TE	B-Reagent
buffer	I-Reagent
to	O
the	O
tubes	B-Location
of	O
agarose	O
as	O
small	O
a	O
volume	B-Measure-Type
as	I-Measure-Type
possible	O
,	O
usually	O
about	O
5X	O
the	B-Numerical
volume	B-Measure-Type
of	I-Measure-Type
the	O
gel	B-Reagent
pieces	I-Reagent
.	I-Reagent

Transfer	B-Action
the	O
tubes	B-Location
to	O
37	B-Temperature
C	I-Temperature
.	O

Add	B-Action
an	O
equal	B-Measure-Type
volume	I-Measure-Type
of	O
buffer	B-Reagent
saturated	I-Reagent
phenol	I-Reagent
.	I-Reagent

The	O
phenol	B-Reagent
should	O
have	O
been	O
warmed	B-Action
to	O
37	B-Temperature
C	I-Temperature
.	O

Centrifuge	B-Action
the	O
tubes	B-Location
at	O
room	B-Temperature
temperature	I-Temperature
to	O
separate	B-Action
the	O
phases	B-Reagent
.	O

Centrifuge	B-Action
at	O
10	B-Speed
,	I-Speed
000	I-Speed
rpm	I-Speed
,	O
10	B-Time
min	I-Time
in	O
the	O
Sorvall	B-Device
or	O
5	B-Time
min	I-Time
in	O
the	O
microfuge	B-Device
.	O

Transfer	B-Action
the	O
upper	B-Reagent
aqueous	I-Reagent
layers	I-Reagent
to	O
clean	B-Location
tubes	I-Location
.	O

Add	B-Action
an	O
equal	B-Measure-Type
volume	I-Measure-Type
of	O
phenol	B-Reagent
CHCl3	I-Reagent
Isoamyl	I-Reagent
alcohol	I-Reagent
25	I-Reagent
24	B-Concentration
1	I-Concentration
to	I-Concentration
the	I-Concentration
tubes	O
.	O

Mix	B-Action
well	B-Modifier
and	O
centrifuge	B-Action
at	O
10	B-Speed
,	I-Speed
000	I-Speed
rpm	I-Speed
,	O
10	B-Time
min	I-Time
in	O
the	O
Sorvall	B-Device
or	O
5	B-Time
min	I-Time
in	O
the	O
microfuge	B-Device
.	O

Re	B-Action
extract	I-Action
the	I-Action
aqueous	B-Reagent
layer	I-Reagent
2X	I-Reagent
with	B-Numerical
CHCl3	B-Reagent
Isoamyl	I-Reagent
alcohol	I-Reagent
24	I-Reagent
1	O
in	B-Concentration
the	I-Concentration
centrifuge	B-Device
as	I-Device
before	I-Device
.	O

Add	B-Action
3	B-Concentration
M	I-Concentration
Na	B-Reagent
acetate	I-Reagent
to	O
a	O
final	B-Modifier
concentration	B-Measure-Type
of	O
0	B-Concentration
.	I-Concentration
3	I-Concentration
M	I-Concentration
and	O
precipitate	B-Action
the	O
DNAs	B-Reagent
with	O
2X	B-Numerical
volumes	B-Measure-Type
of	O
100	B-Concentration
EtOH	I-Concentration
at	B-Reagent
20	O
C	B-Temperature
overnight	I-Temperature
.	B-Time

Centrifuge	B-Action
the	O
tubes	B-Location
to	O
pellet	B-Action
the	O
DNAs	B-Reagent
.	O

Centrifuge	B-Action
in	O
the	O
Sorvall	B-Device
at	O
10	B-Speed
,	I-Speed
000	I-Speed
rpm	I-Speed
,	O
10	B-Time
min	I-Time
,	O
4	B-Temperature
C	I-Temperature
or	O
10	B-Time
15	I-Time
min	I-Time
at	I-Time
4	O
C	B-Temperature
in	I-Temperature
the	O
microfuge	B-Device
.	I-Device

Wash	B-Action
the	O
DNAs	B-Reagent
1X	B-Numerical
with	O
70	B-Concentration
EtOH	I-Concentration
in	B-Reagent
the	O
centrifuge	B-Device
as	I-Device
before	O
and	O
dry	B-Action
the	I-Action
DNA	B-Reagent
pellets	I-Reagent
in	I-Reagent
the	O
vacuum	B-Device
desiccator	I-Device
briefly	I-Device
10	B-Modifier
15	B-Time
min	I-Time
to	I-Time
remove	I-Time
the	B-Action
EtOH	I-Action
.	B-Reagent

Resuspend	B-Action
the	O
DNAs	B-Reagent
with	O
a	O
small	B-Generic-Measure
volume	I-Generic-Measure
of	O
1X	B-Concentration
TE	B-Reagent
buffer	I-Reagent
.	O

Heat	B-Action
the	O
tubes	B-Location
at	O
65	B-Temperature
C	I-Temperature
for	O
10	B-Time
15	I-Time
min	I-Time
.	I-Time

Mix	B-Action
well	B-Modifier
.	O



