BetaMark	B-Device
x-40	I-Device
ELISA	I-Device
Kit	I-Device
(	O
Chemiluminescent	B-Method
)	O
Protocol	O

Label	B-Action
a	O
1L	B-Amount
bottle	B-Location
as	O
1X	B-Concentration
Wash	B-Reagent
Buffer	I-Reagent
.	O

Dilute	B-Action
5X	B-Concentration
Wash	B-Reagent
Buffer	I-Reagent
1:5	B-Concentration
using	O
lab	B-Reagent
grade	I-Reagent
water*	I-Reagent
and	O
mix	B-Action
well	B-Modifier
.	O

*Note	O
:	O
Lab	B-Modifier
grade	I-Modifier
filtered	I-Modifier
water	B-Reagent
such	O
as	O
injection	B-Modifier
grade	I-Modifier
,	O
cell	B-Modifier
culture	I-Modifier
grade	I-Modifier
,	O
Reverse	B-Method
Osmosis	I-Method
De-Ionization	I-Method
(	O
RODI	B-Method
)	O
.	O

Label	B-Action
an	O
appropriate	O
sized	O
bottle	B-Location
as	O
1X	B-Concentration
Reagent	B-Reagent
Diluent	I-Reagent
.	O

Label	B-Action
(	O
2	O
)	O
1.5mL	B-Amount
microcentrifuge	B-Location
tubes	I-Location
as	O
intermediate	O
#	O
1	O
&	O
2	O
(	O
use	B-Action
enclosed	B-Modifier
tubes	B-Location
)	O
.	O

Add	B-Action
990uL	B-Amount
of	O
standard	B-Reagent
diluent	I-Reagent
to	O
intermediate	O
tubes	B-Location
#	O
1	O
&	O
2	O
.	O

Reconstitute	B-Action
20ug	B-Amount
vial	B-Location
of	O
1-40	B-Numerical
standard	O
with	O
80uL	B-Amount
of	O
Standard	B-Reagent
Diluent	I-Reagent
.	O

Mix	B-Action
well	B-Modifier
by	O
inversion	B-Method
,	O
donot	O
vortex	B-Action
.	O

Concentration	B-Measure-Type
will	O
be	O
250ug/mL	B-Concentration
.	O

*Once	O
reconstituted	O
,	O
standard	O
must	O
be	O
used	O
within	O
the	O
same	O
day	O
.	O

Add	B-Action
10uL	B-Amount
from	O
the	O
vial	B-Location
of	O
reconstituted	B-Reagent
1-40	I-Reagent
standard	I-Reagent
to	O
990uL	B-Amount
of	O
standard	B-Reagent
diluent	I-Reagent
in	O
intermediatetube	B-Location
#	O
1	O
.	O

Mix	B-Action
well	B-Modifier
by	O
inversion	B-Method
,	O
do	O
not	O
vortex	B-Action
.	O

Remove	B-Action
10uL	B-Amount
from	O
intermediate	O
#	O
1	O
tube	B-Location
and	O
add	B-Action
to	O
990uL	B-Amount
standard	B-Reagent
diluent	I-Reagent
in	O
intermediate	O
#	O
2	O
tube	B-Location
.	O

Mix	B-Action
well	B-Modifier
by	O
inversion	B-Method
,	O
do	O
not	O
vortex	B-Action
.	O

The	O
final	O
concentration	B-Measure-Type
of	O
intermediate	O
tube	B-Location
#	O
2	O
will	O
be	O
25ng/mL	B-Concentration
.	O

Label	B-Action
a	O
50mL	B-Amount
centrifuge	B-Location
tube	I-Location
as	O
1X	B-Concentration
Incubation	B-Reagent
Buffer	I-Reagent
.	O

Dilute	B-Action
2X	B-Concentration
incubation	B-Reagent
buffer	I-Reagent
to	O
1X	B-Concentration
by	O
adding	B-Action
10mL	B-Amount
of	O
2X	B-Concentration
incubation	B-Reagent
buffer	I-Reagent
to	O
10mL	B-Amount
of	O
lab	B-Reagent
grade	I-Reagent
water*	I-Reagent
in	O
the	O
50mL	B-Amount
tube	B-Location
labeled	O
1X	B-Concentration
Incubation	B-Reagent
Buffer	I-Reagent
.	O

Mix	B-Action
well	B-Modifier
by	O
vortexing	B-Method
.	O

This	B-Mention
will	O
be	O
diluent	B-Reagent
for	O
the	O
standard	O
curve	O
and	O
samples	B-Reagent
.	O



