Digestion	B-Method
for	O
BioBrick	B-Device
Assembly	I-Device
Kit	I-Device
(	O
E0546	O
)	O

Digest	B-Action
Upstream	B-Reagent
Part	I-Reagent
with	O
EcoRI-HF™	B-Reagent
and	O
SpeI	B-Reagent
.	O

Digest	B-Action
Downstream	B-Reagent
Part	I-Reagent
with	O
XbaI	B-Reagent
and	O
PstI	B-Reagent
.	O

Digest	B-Action
the	O
Destination	B-Reagent
Plasmid	I-Reagent
with	O
EcoRI-HF™	B-Reagent
and	O
PstI	B-Reagent
.	I-Reagent

Incubate	B-Action
all	O
three	B-Numerical
restriction	B-Reagent
digest	I-Reagent
reactions	I-Reagent
at	O
37°C	B-Temperature
for	O
10	B-Time
minutes	I-Time
Heat	B-Action
inactivate	I-Action
at	I-Action
80°C	B-Temperature
for	I-Temperature
20	O
minutes	B-Time
.	I-Time



