Preparation	B-Method
of	O
NC64A	B-Reagent
Ghosts	I-Reagent

Centrifuge	B-Action
the	O
NC64A	B-Reagent
chlorella	I-Reagent
in	O
the	O
Sorvall	B-Device
centrifuge	I-Device
at	O
5,000	B-Speed
rpm	I-Speed
,	O
5	B-Time
min	I-Time
,	O
4	B-Temperature
C	I-Temperature
if	O
fresh	B-Modifier
cells	B-Reagent
are	O
used	B-Action
.	O

If	O
frozen	B-Modifier
cells	B-Reagent
are	O
used	B-Action
,	O
thaw	B-Action
the	O
pellets	B-Reagent
and	O
suspend	B-Action
with	O
50	B-Concentration
mM	I-Concentration
Tris-HCl	B-Reagent
,	O
pH	B-pH
7.8	I-pH
.	O

Centrifuge	B-Action
the	O
cells	B-Reagent
in	O
the	O
Sorvall	B-Device
SS34	I-Device
rotor	I-Device
or	O
HB-4	B-Device
rotor	I-Device
at	O
5,000	B-Speed
rpm	I-Speed
,	O
5	B-Time
min	I-Time
,	O
4	B-Temperature
C	I-Temperature
.	O

Decant	B-Action
the	O
supernatants	B-Reagent
.	O

Centrifuge	B-Action
the	O
cells	B-Reagent
in	O
the	O
Sorvall	B-Device
SS34	I-Device
rotor	I-Device
or	O
HB-4	B-Device
rotor	I-Device
at	O
5,000	B-Speed
rpm	I-Speed
,	O
5	B-Time
min	I-Time
,	O
4	B-Temperature
C	I-Temperature
.	O

Repeat	B-Action
the	O
70	B-Concentration
%	I-Concentration
methanol	B-Reagent
washes	B-Action
5-6	B-Numerical
times	O
or	O
until	O
the	O
desired	B-Amount
amount	I-Amount
of	O
pigment	B-Reagent
has	O
been	O
removed	B-Action
from	O
the	O
cells	B-Reagent
.	O

Store	B-Action
the	O
chlorella	B-Reagent
ghosts	I-Reagent
at	O
4	B-Temperature
C	I-Temperature
in	O
70	B-Concentration
%	I-Concentration
methanol	B-Reagent
.	O

Add	B-Action
10-15	B-Amount
mL	I-Amount
of	O
70	B-Concentration
%	I-Concentration
methanol	B-Reagent
to	O
the	O
chlorella	B-Reagent
pellets	I-Reagent
and	O
resuspend	B-Action
the	O
cells	B-Reagent
completely	B-Modifier
.	O

Decant	B-Action
the	O
supernatants	B-Reagent
.	O



