Western	B-Method
Blot	I-Method

Place	B-Action
gels	B-Reagent
in	O
the	O
Bio	B-Device
Rad	I-Device
gel	I-Device
running	I-Device
apparatus	I-Device
and	I-Device
make	O
sure	O
they	B-Mention
are	I-Mention
locked	B-Action
into	I-Action
place	O
,	O
then	O
pour	B-Action
1x	I-Action
Protein	B-Concentration
Running	B-Reagent
Buffer	I-Reagent
inbetween	I-Reagent
the	B-Location
two	B-Reagent
gels	I-Reagent
until	I-Reagent
it's	O
about	O
25	O
full	B-Amount
to	I-Amount
ensure	O
there	O
are	O
no	O
leaks	O
.	O

After	O
no	O
leaks	O
have	O
been	O
found	O
,	O
fill	B-Action
the	O
middle	B-Location
up	O
the	O
rest	B-Amount
of	I-Amount
the	I-Amount
way	I-Amount
up	O
so	O
it	O
covers	B-Action
the	O
top	B-Location
of	O
the	O
wells	B-Location
and	O
pour	B-Action
1x	B-Concentration
Protein	B-Reagent
Running	I-Reagent
Buffer	I-Reagent
outside	B-Location
of	O
the	O
gels	B-Reagent
so	O
it	B-Mention
covers	B-Action
the	O
bottom	B-Location
of	O
the	O
glass	B-Location
.	O

Remove	B-Action
the	O
combs	B-Device
from	O
each	B-Reagent
gel	I-Reagent
and	O
wash	B-Action
lanes	B-Location
a	B-Numerical
few	I-Numerical
times	I-Numerical
with	O
1x	B-Concentration
Protein	B-Reagent
Running	I-Reagent
Buffer	I-Reagent
,	O
then	O
load	B-Action
your	O
samples	B-Reagent
and	O
ladder	B-Location
.	O

In	O
any	O
unused	B-Location
wells	I-Location
,	O
fill	B-Action
them	B-Mention
up	O
with	O
a	O
similar	O
volume	B-Measure-Type
that	O
you	O
loaded	B-Action
your	O
samples	B-Reagent
with	O
of	O
1x	B-Concentration
Protein	B-Reagent
Running	I-Reagent
Buffer	I-Reagent
.	O

Run	B-Action
10	B-Concentration
gels	I-Concentration
at	B-Reagent
150	B-Generic-Measure
volts	I-Generic-Measure
until	I-Generic-Measure
the	O
ladder	B-Reagent
reaches	I-Reagent
the	O
bottom	B-Location
of	I-Location
the	O
glass	B-Location
.	I-Location

Cut	B-Action
nitrocellulose	B-Reagent
membrane	I-Reagent
and	O
pieces	B-Reagent
of	I-Reagent
filter	I-Reagent
paper	I-Reagent
to	O
the	O
same	B-Amount
size	I-Amount
as	I-Amount
the	I-Amount
gel	I-Amount
,	O
and	O
cut	B-Action
one	B-Location
corner	I-Location
so	O
you	O
are	O
able	O
to	O
orient	O
yourself	O
to	O
which	O
side	O
is	O
the	O
front	O
or	O
back	O
,	O
then	O
soak	B-Action
in	O
100	B-Concentration
methanol	I-Concentration
,	B-Reagent
followed	O
by	O
quickly	B-Modifier
submerging	I-Modifier
in	B-Action
1x	O
Transfer	B-Concentration
Buffer	B-Reagent
for	I-Reagent
at	O
least	O
15	O
minutes	B-Time
.	I-Time

Pour	B-Action
out	I-Action
1x	B-Concentration
Protein	B-Reagent
Running	I-Reagent
Buffer	I-Reagent
can	O
reuse	B-Action
1	I-Action
time	B-Numerical
into	O
a	O
bottle	B-Location
and	I-Location
then	O
remove	B-Action
the	I-Action
gels	B-Reagent
from	I-Reagent
the	O
gel	O
apparatus	B-Location
.	I-Location

Separate	B-Action
the	O
glass	B-Location
pieces	I-Location
,	O
remove	B-Action
the	O
gel	B-Reagent
,	O
cut	B-Action
off	I-Action
and	O
discard	B-Action
the	O
stacking	B-Reagent
portion	I-Reagent
,	O
and	O
submerge	B-Action
the	O
separating	B-Reagent
portion	I-Reagent
in	O
1x	B-Concentration
Transfer	B-Reagent
Buffer	I-Reagent
for	O
at	B-Modifier
least	I-Modifier
15	B-Time
minutes	I-Time
.	O

Pour	B-Action
1x	B-Concentration
Transfer	B-Reagent
Buffer	I-Reagent
into	O
Bio	B-Location
Rad	I-Location
transfer	I-Location
apparatus	I-Location
and	I-Location
soak	B-Action
both	I-Action
sponges	B-Device
and	I-Device
filter	B-Location
paper	I-Location
in	I-Location
the	O
buffer	B-Reagent
.	I-Reagent

Open	B-Action
up	I-Action
plastic	B-Location
sandwich	I-Location
,	O
and	O
starting	O
with	O
the	O
clear	O
side	O

Place	B-Action
a	O
wet	B-Modifier
sponge	B-Device
down	O
.	O

Place	B-Action
a	O
wet	B-Modifier
piece	B-Location
of	I-Location
filter	I-Location
paper	I-Location
.	O

Place	B-Action
the	O
nitrocellulose	B-Reagent
membrane	I-Reagent
onto	O
the	O
filter	B-Location
paper	I-Location
down	O
in	O
the	O
middle	O
first	O
then	O
let	O
each	O
side	O
down	O
so	O
you	O
have	O
no	O
air	O
bubbles	O
.	O

Place	B-Action
the	O
gel	B-Reagent
on	O
the	O
same	O
way	O
.	O

Place	B-Action
the	O
other	O
piece	O
of	O
filter	B-Location
paper	I-Location
down	O
the	O
same	O
way	O
.	O

Use	O
a	O
15	B-Amount
mL	I-Amount
centrifuge	B-Location
tube	I-Location
and	O
roll	B-Action
from	O
one	O
side	O
of	O
the	O
sandwich	B-Location
to	O
the	O
other	O
to	O
ensure	B-Action
there	O
are	O
no	O
air	O
bubbles	O
.	O

Place	B-Action
the	O
other	O
sponge	B-Device
on	O
top	B-Location
,	O
then	O
fold	B-Action
the	O
black	B-Location
side	I-Location
up	I-Location
and	O
lock	B-Action
the	O
clear	B-Location
and	O
black	B-Location
sides	O
together	O
so	O
there	O
is	O
a	O
complete	O
sandwich	O
,	O
and	O
load	B-Action
it	B-Mention
into	O
the	O
center	B-Location
of	O
the	O
transfer	B-Location
apparatus	I-Location
,	O
so	O
that	O
the	O
black	O
side	O
of	O
the	O
sandwich	O
matches	O
the	O
black	O
side	O
of	O
the	O
sandwich	O
holder	O
,	O
and	O
the	O
clear	O
side	O
is	O
closer	O
to	O
the	O
red	O
side	O
of	O
the	O
sandwich	O
holder	O
.	O

Load	B-Action
the	O
ice	B-Reagent
block	I-Reagent
into	O
the	O
apparatus	B-Location
then	O
fill	B-Action
the	O
Bio	B-Location
Rad	I-Location
container	I-Location
to	I-Location
the	O
top	O
with	O
chilled	B-Modifier
1x	I-Modifier
Transfer	B-Concentration
Buffer	B-Reagent
.	I-Reagent

Add	B-Action
the	O
lid	B-Seal
to	O
the	O
container	B-Location
,	O
plug	B-Action
it	O
into	O
the	O
amplifier	B-Device
,	O
and	O
perform	O
the	O
transfer	B-Action
at	O
room	B-Temperature
temperature	I-Temperature
at	O
50	B-Generic-Measure
volts	I-Generic-Measure
for	O
two	B-Time
hours	I-Time
.	O

Remove	B-Action
membrane	B-Reagent
from	O
sandwich	B-Location
,	O
rinse	B-Action
with	O
water	B-Reagent
,	O
and	O
submerge	B-Action
in	O
TBST	B-Reagent
5	I-Reagent
Milk	I-Reagent
with	I-Reagent
shaking	B-Action
for	I-Action
two	O
hours	B-Time
to	I-Time
initiate	B-Action
blocking	I-Action
.	I-Action

Dump	B-Action
the	O
TBST	B-Reagent
Milk	I-Reagent
,	I-Reagent
then	O
add	B-Action
10	I-Action
mL	B-Amount
of	I-Amount
fresh	B-Reagent
TBST	I-Reagent
5	I-Reagent
Milk	I-Reagent
and	I-Reagent
1	O
uL	O
Primary	B-Amount
Antibody	B-Reagent
all	I-Reagent
mixed	I-Reagent
