Immunoprecipitation	B-Method

Take	B-Action
cell	B-Reagent
dishes	B-Location
out	O
of	O
incubator	B-Device
and	O
pre-cool	B-Action
on	O
ice	B-Reagent
.	O

Rinse	B-Action
cells	B-Reagent
gently	B-Modifier
with	O
ice-cold	B-Modifier
PBS	B-Reagent
for	O
twice	B-Numerical
.	O

Scrape	B-Action
cells	B-Reagent
and	O
spin	B-Action
down	I-Action
@	O
500	B-Speed
rpm	I-Speed
,	O
10min	B-Time
,	O
4	B-Time
C	I-Time
.	O

Add	B-Action
500l	B-Amount
ul	I-Amount
IP	B-Reagent
lysis	I-Reagent
buffer	I-Reagent
to	O
each	O
cell	B-Reagent
pellets	I-Reagent
(	O
upto	B-Modifier
2E+7	B-Numerical
cells	B-Reagent
)	O
.	O

Rotate	B-Action
for	O
2h	B-Time
at	O
4	B-Temperature
C	I-Temperature
.	O

Centrifuge	B-Action
14,000rpm	B-Speed
for	O
30	B-Time
min	I-Time
.	O

Save	B-Action
supernatant	B-Reagent
.	O

(	O
Optional	O
)	O
Roughly	B-Modifier
determine	B-Action
protein	B-Reagent
concentration	B-Measure-Type
with	O
OD280	B-Reagent
.	O

Adjust	B-Action
all	O
samples	B-Reagent
to	O
the	O
same	B-Measure-Type
concentration	I-Measure-Type
.	O

Determine	B-Action
amount	B-Measure-Type
of	O
beads	B-Reagent
needed	O
(	O
Rockland	B-Reagent
True	I-Reagent
Blot	I-Reagent
IP	I-Reagent
beads	I-Reagent
;	O
20	B-Amount
ul	I-Amount
beads	B-Reagent
per	O
500ul	B-Amount
sample	B-Reagent
)	O
.	O

Wash	B-Action
beads	B-Reagent
in	O
1ml	B-Amount
lysis	B-Reagent
buffer	I-Reagent
for	O
twice	B-Numerical
.	O

Spin	B-Action
down	I-Action
@	O
500g	B-Speed
,	O
30s	B-Time
.	O

Resuspend	B-Action
pelleted	B-Modifier
beads	B-Reagent
in	O
1mg/ml	B-Concentration
BSA	B-Reagent
,	O
rotate	B-Action
@	O
RT	B-Temperature
,	O
10min	B-Time
.	O

Remove	B-Action
BSA	B-Reagent
and	O
wash	B-Action
beads	B-Reagent
in	O
lysis	B-Reagent
buffer	I-Reagent
for	O
3	B-Numerical
times	O
.	O

Resuspend	B-Action
pelleted	B-Modifier
beads	B-Reagent
1:1	B-Concentration
with	O
lysis	B-Reagent
buffer	I-Reagent
.	O

Save	B-Action
40ul	B-Amount
of	O
IP	B-Reagent
lysate	I-Reagent
per	O
sample	B-Reagent
as	O
input	O
.	O

Add	B-Action
primary	B-Reagent
Ab	I-Reagent
and	O
beads	B-Reagent
to	O
IP	B-Reagent
lysate	I-Reagent
.	O

Rotate	B-Action
@	O
4	B-Temperature
degree	I-Temperature
for	O
overnight	B-Time
.	O

Pellet	B-Action
beads	B-Reagent
@	O
500g	B-Speed
for	O
30sec	B-Time
@	O
RT	B-Temperature
and	O
discard	B-Action
the	O
supernatant	B-Reagent
.	O

Wash	B-Action
beads	B-Reagent
in	O
1ml	B-Amount
ice-cold	B-Modifier
lysis	B-Reagent
buffer	I-Reagent
.	O

Repeat	B-Action
3	B-Numerical
times	O
.	O

Resuspend	B-Action
beads	B-Reagent
in	O
30ul	B-Amount
of	O
2	B-Concentration
loading	B-Reagent
buffer	I-Reagent
.	O

Boil	B-Action
the	O
beads	B-Reagent
for	O
5min	B-Time
.	O

Centrifuge	B-Action
@	O
RT	B-Temperature
for	O
1min	B-Time
.	O

Save	B-Action
supernatant	B-Reagent
and	O
perform	B-Action
SDS-PAGE	I-Action
.	O



