Adsorption	B-Method
of	O
phage	B-Reagent
to	O
cyanobacteria	B-Reagent

Have	O
everything	O
ready	O
to	O
perform	B-Action
plaque	I-Action
assay	I-Action
:	O

a.	O
Plating	B-Action
cells	B-Reagent
,	O
aliquoted	B-Modifier
,	O
and	O
set	B-Modifier
aside	I-Modifier
.	O

b	O
.	O
Bottom	B-Location
plates	I-Location
labeled	B-Modifier
(	O
24	B-Numerical
+	I-Numerical
plates	B-Location
)	O
.	O

c.	O
Top	B-Reagent
agar	I-Reagent
aliquoted	B-Modifier
and	O
temperature	B-Measure-Type
equilibrated	B-Modifier
.	O

d.	O
Dilution	B-Location
tubes	I-Location
these	O
contain	O
1.5	B-Amount
mL	I-Amount
media	B-Reagent
,	O
labeled	B-Modifier
and	O
kept	B-Action
on	O
ice	B-Location
.	O

e.	O
Cyanophage	B-Reagent
stock	I-Reagent
diluted	B-Action
into	O
1	B-Amount
5	I-Amount
mL	I-Amount
media	B-Reagent
Set	B-Action
up	I-Action
a	O
table	O
to	O
record	B-Action
times	B-Measure-Type
such	O
as	O
Table	O
1	O
(	O
guidelines	O
)	O
.	O

Set	B-Action
up	I-Action
adsorption	B-Reagent
cultures	I-Reagent
(	O
e.g.	O
,	O
250	B-Amount
mL	I-Amount
polycarbonate	B-Location
Erlenmeyer	I-Location
flasks	I-Location
with	O
screw	B-Seal
cap	I-Seal
)	O
.	O

Fill	B-Action
flask	B-Location
with	O
100	B-Amount
mL	I-Amount
host	B-Reagent
cells	I-Reagent
.	O

Add	B-Action
cyanophage	B-Reagent
stock	I-Reagent
of	O
known	O
titer	B-Measure-Type
to	O
host	B-Reagent
at	O
an	O
MOI	B-Generic-Measure
of	I-Generic-Measure
ca	I-Generic-Measure
.	I-Generic-Measure
0.01	I-Generic-Measure
and	O
quickly	B-Modifier
mix	B-Action
to	O
disperse	B-Action
the	O
virus	B-Reagent
.	O

Immediately	B-Modifier
remove	B-Action
a	O
subsample	B-Reagent
and	O
dilute	B-Action
100	B-Concentration
for	O
time	B-Time
zero	I-Time
:	O
Transfer	B-Action
15	B-Amount
L	I-Amount
to	O
a	O
tube	B-Location
containing	O
1.5	B-Amount
mL	I-Amount
of	O
ice	B-Modifier
cold	I-Modifier
media	B-Reagent
.	O

Vortex	B-Action
to	O
mix	B-Action
.	O

Pellet	B-Action
host	B-Reagent
for	O
5	B-Time
min	I-Time
at	O
ca	O
.	O
16,000g	B-Speed
and	O
4	B-Temperature
C	I-Temperature
;	O
note	B-Action
the	O
time	B-Measure-Type
.	O

Carefully	B-Modifier
remove	B-Action
a	O
small	B-Amount
aliquot	I-Amount
(	O
50	B-Amount
L	I-Amount
)	O
of	O
the	O
supernatant	B-Reagent
to	O
a	O
new	B-Modifier
tube	B-Location
and	O
keep	B-Action
cold	I-Action
for	O
plaque	B-Action
assay	I-Action
;	O
note	B-Action
time	B-Measure-Type
.	O

Place	B-Action
adsorption	B-Reagent
cultures	I-Reagent
under	O
usual	O
conditions	O
(	O
e.g.	O
,	O
light	O
and	O
temp	B-Measure-Type
)	O
.	O

Repeat	B-Action
sampling	B-Reagent
at	O
15	B-Time
min	I-Time
intervals	O
for	O
1	B-Time
to	I-Time
1.5	I-Time
h	I-Time
Determine	B-Action
the	O
concentration	B-Measure-Type
of	O
viruses	B-Reagent
remaining	O
in	O
the	O
supernatant	B-Reagent
for	O
each	O
time	B-Measure-Type
point	I-Measure-Type
by	O
plaque	B-Action
assay	I-Action
.	O



