Transformation	B-Method
of	O
Bacterial	B-Reagent
Cultures	I-Reagent
Using	O
Hexamine	B-Reagent
Cobalt	I-Reagent
Chloride
	I-Reagent

Prepare	B-Action
the	O
SOB	B-Reagent
medium.
	I-Reagent

Prepare	B-Action
the	O
SOC	B-Reagent
medium	I-Reagent
by	O
using	O
the	O
SOB	B-Reagent
media	I-Reagent
supplemented	B-Action
with	O
20mM	B-Concentration
glucose.
	B-Reagent

Prepare	B-Action
the	O
TFB	B-Reagent
buffer.
	I-Reagent

Prepare	B-Action
the	O
DTT	B-Reagent
solution.
	I-Reagent

Grow	B-Action
5	B-Amount
mL	I-Amount
of	O
the	O
host	B-Reagent
cells	I-Reagent
overnight	B-Time
in	O
SOB	B-Reagent
media	I-Reagent
at	O
37°C.
	B-Temperature

Inoculate	B-Action
40	B-Amount
mL	I-Amount
of	O
SOB	B-Reagent
medium	I-Reagent
with	O
0.8	B-Amount
mL	I-Amount
of	O
the	O
overnight	B-Modifier
culture.
	B-Reagent

Grow	B-Action
to	O
an	O
A550	B-Generic-Measure
of	I-Generic-Measure
0.45-0.55	I-Generic-Measure
at	O
37°C	B-Temperature
(approximately	B-Modifier
3-4	B-Time
hours).
	I-Time

Centrifuge	B-Action
the	O
cells	B-Reagent
in	O
the	O
Sorvall	B-Device
SS34	I-Device
rotor	I-Device
at	O
5,000	B-Speed
rpm,	I-Speed
5	B-Time
min,	I-Time
4°C.
	B-Temperature

Discard	B-Action
the	O
supernatant.
	B-Reagent

Resuspend	B-Action
the	O
pellet	B-Reagent
with	O
12.5	B-Amount
mL	I-Amount
of	O
the	O
TFB	B-Reagent
solution.
	I-Reagent

Hold	B-Action
the	O
remaining	B-Modifier
2.5	B-Amount
mL	I-Amount
of	O
TFB	B-Reagent
for	O
use	O
later.
	O

Chill	B-Action
the	O
cells	B-Reagent
on	O
ice	B-Location
for	O
15	B-Time
min.
	I-Time

Centrifuge	B-Action
the	O
cells	B-Reagent
in	O
the	O
Sorvall	B-Device
SS34	I-Device
rotor	I-Device
at	O
5,000	B-Speed
rpm,	I-Speed
5	B-Time
min,	I-Time
4°C.
	B-Temperature

Discard	B-Action
the	O
supernatant.
	B-Reagent

Resuspend	B-Action
the	O
pellet	B-Reagent
with	O
2.4	B-Amount
mL	I-Amount
of	O
TFB	B-Reagent
solution.
	I-Reagent

Add	B-Action
DMSO	B-Reagent
to	O
3.5%	B-Concentration
(84µL),	B-Amount
mix	B-Action
and	O
chill	B-Action
on	O
ice	B-Location
for	O
5	B-Time
min.
	I-Time

Add	B-Action
DTT	B-Reagent
solution	I-Reagent
to	O
75	B-Concentration
mM	I-Concentration
(84	B-Amount
µL),	I-Amount
mix	B-Action
and	O
chill	B-Action
on	O
ice	B-Location
for	O
10	B-Time
min.
	I-Time

Add	B-Action
an	O
equal	B-Amount
volume	I-Amount
of	O
DMSO	B-Reagent
as	O
before	O
(84	B-Amount
µL),	I-Amount
mix	B-Action
and	O
chill	B-Action
on	O
ice	B-Location
for	O
5	B-Time
min.
	I-Time

The	O
cells	B-Reagent
are	O
now	O
"competent".
	B-Modifier

Pipet	B-Action
21	B-Amount
µL	I-Amount
competent	B-Reagent
cells	I-Reagent
per	O
prechilled	B-Modifier
microfuge	B-Location
tube.
	I-Location

Add	B-Action
the	O
DNA	B-Reagent
(in	O
as	O
small	O
a	O
volume	B-Measure-Type
as	O
possible,	O
1-2	B-Amount
µL/tube),	I-Amount
mix	B-Action
and	O
chill	B-Action
on	O
ice	B-Location
for	O
30	B-Time
min.
	I-Time

Heat	B-Action
pulse	I-Action
the	O
tubes	B-Location
at	O
42°C	B-Temperature
for	O
3	B-Time
min.
	I-Time

Add	B-Action
80	B-Amount
µL	I-Amount
of	O
SOC	B-Reagent
medium	I-Reagent
per	O
tube	B-Location
and	O
incubate	B-Action
the	O
tubes	B-Location
at	O
37°C	B-Temperature
for	O
60	B-Time
min.
	I-Time

Spread	B-Action
100	B-Amount
µL	I-Amount
onto	O
each	B-Modifier
plate.
	B-Location

Incubate	B-Action
the	O
plates	B-Location
at	O
37°C	B-Temperature
overnight.
	B-Time

Then	O
chill	B-Action
on	O
ice	B-Location
for	O
2	B-Time
min.
	I-Time



