Th2	B-Method
Polarization	I-Method
of	O
Mouse	B-Reagent
CD4+	I-Reagent
Cells
	I-Reagent

Harvest	B-Action
lymph	B-Reagent
nodes	I-Reagent
(superficial	I-Reagent
cervical,	I-Reagent
mandibular,	I-Reagent
axillary,	I-Reagent
inguinal,	I-Reagent
and	O
mesenteric)	B-Reagent
from	O
mice.
	B-Reagent

Tease	B-Action
lymph	B-Reagent
nodes	I-Reagent
through	O
a	O
sterile	B-Modifier
70-µm	B-Size
nylon	B-Device
cell	I-Device
strainer	I-Device
to	O
obtain	O
single-cell	B-Modifier
suspensions	I-Modifier
incomplete	I-Modifier
RPMI	B-Reagent
containing	O
10%	B-Concentration
FCS	B-Reagent
(complete	I-Reagent
medium).
	I-Reagent

Resuspend	B-Action
cells	B-Reagent
in	O
complete	B-Reagent
medium	I-Reagent
and	O
use	O
your	O
favorite	O
method	O
to	O
isolate	B-Action
CD4+cells.
	B-Reagent

Checkout	B-Action
Biocompare.com	O
to	O
find	B-Action
useful	B-Modifier
kits.
	B-Device

On	O
day	B-Time
0,	I-Time
plate	B-Action
CD4+	B-Reagent
cells	I-Reagent
at	O
30	B-Amount
x106	I-Amount
/30	I-Amount
ml/T-75	I-Amount
flask.
	B-Location

Culture	B-Action
cells	B-Reagent
for	O
3	B-Time
days	I-Time
in	O
complete	B-Modifier
RPMI	B-Reagent
containing	O
10%	B-Concentration
FCS,	B-Reagent
Con	I-Reagent
A	I-Reagent
(5	B-Concentration
µg/mL),	I-Concentration
recombinant	B-Reagent
mouse	I-Reagent
IL-2	I-Reagent
(20	B-Concentration
ng/ml),	I-Concentration
and	O
recombinant	B-Reagent
mouse	I-Reagent
IL-4	I-Reagent
(50	B-Concentration
ng/ml).
	I-Concentration

On	O
day	B-Time
3,	I-Time
harvest	B-Action
the	O
cells	B-Reagent
and	O
wash	B-Action
cells	B-Reagent
once.
	B-Numerical

Seed	B-Action
15	B-Amount
x106	I-Amount
cells/30	B-Reagent
ml/T-75	B-Amount
flask	B-Location
along	O
with	O
recombinant	B-Reagent
mouse	I-Reagent
IL-2	I-Reagent
(20	B-Concentration
ng/ml)	I-Concentration
and	O
recombinant	B-Reagent
mouse	I-Reagent
IL-4	I-Reagent
(50	B-Concentration
ng/ml).
	I-Concentration

On	O
day	B-Time
5,	I-Time
coat	B-Action
a	O
60	B-Size
x	I-Size
15	I-Size
mm	I-Size
tissue	B-Location
culture	I-Location
petri	I-Location
dish	I-Location
with	O
anti-mouse	B-Reagent
CD3ε,	I-Reagent
clone	B-Action
145-2C11,	B-Generic-Measure
10	B-Concentration
µg/mL	I-Concentration
in	O
PBS,	B-Reagent
5	B-Amount
ml/dish.
	I-Amount

Incubate	B-Action
in	O
a	O
4°C	B-Temperature
refrigerator	B-Device
overnight.
	B-Time

On	O
day	B-Time
6,	I-Time
wash	B-Action
the	O
anti-mouse	B-Modifier
CD3ε	I-Modifier
pre-coated	I-Modifier
tissue	B-Location
culture	I-Location
petri	I-Location
dish	I-Location
with	O
PBS.
	B-Reagent

Harvest	B-Action
the	O
cells	B-Reagent
from	O
the	O
flask	B-Location
(that	O
were	O
seeded	B-Action
on	O
Day	B-Time
5).
	I-Time

Wash	B-Action
the	O
cells.
	B-Reagent

(wash	B-Action
1/2)	O
Wash	B-Action
the	O
cells.
	B-Reagent

(wash	B-Action
2/2)	O
Seed	B-Action
at	O
20	B-Amount
x106	I-Amount
/10	I-Amount
ml/petri	I-Amount
dish	B-Location
along	O
with	O
10	B-Amount
µl	I-Amount
of	O
monensin	B-Reagent
(1000x)	B-Concentration
and	O
anti-mouse	B-Reagent
CD28,	I-Reagent
clone	B-Action
37.51	B-Generic-Measure
(5	B-Concentration
µg/ml).
	I-Concentration

Incubate	B-Action
for	O
6	B-Time
hours	I-Time
at	O
37°C	B-Temperature
in	O
a	O
CO2	B-Device
incubator.
	I-Device

After	O
harvesting,	B-Action
the	O
cells	B-Reagent
are	O
ready	O
for	O
staining.
	B-Action



