Stellaris	B-Method
RNA	I-Method
FISH	I-Method
Sequential	I-Method
IF	I-Method
+	I-Method
FISH	I-Method
in	I-Method
Adherent	I-Method
Cells	I-Method
Protocol	O

Grow	B-Action
cells	B-Reagent
on	O
18	B-Size
mm	I-Size
round	B-Location
#	I-Location
1	I-Location
coverglass	I-Location
in	O
a	O
12-well	B-Location
cell	I-Location
culture	I-Location
plate	I-Location
.	O

Add	B-Action
1	B-Amount
mL	I-Amount
of	O
fixation	B-Reagent
buffer	I-Reagent
.	O

Incubate	B-Action
at	O
room	B-Temperature
temperature	I-Temperature
for	O
10	B-Time
minutes	I-Time
.	O

Wash	B-Action
twice	B-Numerical
with	O
1	B-Amount
mL	I-Amount
of	O
1X	B-Concentration
PBS	B-Reagent
.	O

To	O
permeabilize	B-Action
,	O
immerse	B-Action
cells	B-Reagent
in	O
1	B-Amount
mL	I-Amount
of	O
0.1	B-Concentration
%	I-Concentration
Triton	B-Reagent
X-100	I-Reagent
in	O
1X	B-Concentration
PBS	B-Reagent
for	O
5	B-Time
minutes	I-Time
at	O
room	B-Temperature
temperature	I-Temperature
.	I-Temperature

Wash	B-Action
with	O
1	B-Amount
mL	I-Amount
of	O
1X	B-Concentration
PBS	B-Reagent
.	O

Add	B-Action
1	B-Amount
mL	I-Amount
of	O
appropriately	B-Modifier
diluted	I-Modifier
primary	B-Reagent
antibody	I-Reagent
in	O
1X	B-Concentration
PBS	B-Reagent
.	O

Incubate	B-Action
at	O
room	B-Temperature
temperature	I-Temperature
for	O
1	B-Time
hour	I-Time
.	O

Wash	B-Action
with	O
1	B-Amount
mL	I-Amount
of	O
1X	B-Concentration
PBS	B-Reagent
for	O
10	B-Time
minutes	I-Time
,	O
and	O
repeat	B-Action
2	B-Numerical
more	O
times	O
.	O

Add	B-Action
1	B-Amount
mL	I-Amount
of	O
appropriately	B-Modifier
diluted	I-Modifier
secondary	B-Reagent
antibody	I-Reagent
in	O
1X	B-Concentration
PBS	B-Reagent
.	O

Incubate	B-Action
at	O
room	B-Temperature
temperature	I-Temperature
for	O
1	B-Time
hour	I-Time
.	O

Wash	B-Action
with	O
1	B-Amount
mL	I-Amount
of	O
