First	B-Method
Strand	I-Method
Synthesis	I-Method
with	O
Reverse	B-Reagent
Transcriptase
	I-Reagent

In	O
a	O
sterile	B-Location
microfuge	I-Location
tube	I-Location
add	B-Action
the	O
following:	B-Reagent

Heat	B-Action
for	O
3-5	B-Time
minutes	I-Time
at	O
65-80°C.
	B-Temperature

Spin	B-Action
briefly	B-Modifier
and	O
place	B-Action
promptly	B-Modifier
on	O
ice.
	B-Temperature

Add	B-Action
10X	B-Concentration
RT	B-Reagent
Buffer.	I-Reagent

Add RNAse	B-Action
inhibitor	B-Reagent
1	B-Amount
µL. 	I-Amount

Add M-MuLV	B-Action
Reverse	B-Reagent
Transcriptase	I-Reagent
1	B-Amount
µL. 	I-Amount

Incubate	B-Action
at	O
42°C	B-Temperature
for	O
one	B-Time
hour.
	I-Time

Inactivate	B-Action
enzyme	B-Reagent
at	O
90°C	B-Temperature
for	O
10	B-Time
minutes.
	I-Time

Store	B-Action
products	B-Reagent
at	O
-20°C	B-Temperature
or	O
proceed	B-Action
to	O
next	O
step(s).
	O



