Construction	B-Method
of	I-Method
U6-based	I-Method
sgRNA	I-Method
expression	I-Method
vectors	I-Method

Order	B-Action
a	O
pair	B-Modifier
of	O
U6	B-Modifier
vector-specific	I-Modifier
,	I-Modifier
23nt	I-Modifier
targeting	B-Reagent
primers	I-Reagent
for	O
each	B-Modifier
target	B-Reagent
For	O
each	B-Modifier
target	B-Reagent
(	O
GN19	B-Modifier
)	O
,	O
order	B-Action
a	O
forward	B-Reagent
primer	I-Reagent
TTCGN19	B-Modifier
for	O
the	O
U6	B-Modifier
promoter	B-Reagent
vectors	I-Reagent
;	O
order	B-Action
a	O
reverse	B-Reagent
primer	I-Reagent
AAACN19	B-Modifier
.	O

Note	O
that	O
the	O
N19	B-Reagent
in	O
the	O
reverse	B-Reagent
primers	I-Reagent
is	O
reverse	B-Modifier
complementary	I-Modifier
to	I-Modifier
that	I-Modifier
in	I-Modifier
the	I-Modifier
forward	I-Modifier
primer	I-Modifier
.	O

To	O
order	B-Action
primers	B-Reagent
compatible	B-Modifier
with	I-Modifier
both	I-Modifier
the	I-Modifier
pU6x-sgRNA	I-Modifier
vectors	I-Modifier
and	I-Modifier
pT7-gRNA	I-Modifier
(	O
Add	B-Action
gene	B-Reagent
plasmid	I-Reagent
#	I-Reagent
4675	I-Reagent
;	O
(	O
JAO	O
et	O
al	O
2013	O
)	O
)	O
,	O
order	B-Action
degenerate	B-Reagent
primers	I-Reagent
WTMGGN18	B-Modifier
(	O
forward	B-Modifier
)	O
and	O
AMMCN18C	B-Modifier
(	O
reverse	B-Modifier
)	O
,	O
where	B-Modifier
M=A	I-Modifier
or	I-Modifier
C	I-Modifier
,	I-Modifier
W=A	I-Modifier
or	I-Modifier
T	I-Modifier
.	I-Modifier

Again	O
,	O
the	O
N18	B-Reagent
in	O
the	O
reverse	B-Reagent
primers	I-Reagent
is	O
reverse	B-Modifier
complementary	I-Modifier
to	I-Modifier
that	I-Modifier
in	I-Modifier
the	I-Modifier
forward	I-Modifier
primer	I-Modifier
.	O

Mix	B-Action
1	B-Amount
l	I-Amount
100	B-Concentration
M	I-Concentration
stock	B-Reagent
each	B-Modifier
in	O
a	O
20	B-Amount
l	I-Amount
1x	B-Concentration
NEB	B-Reagent
buffer	I-Reagent
2	I-Reagent
.	O

Incubate	B-Action
the	O
mixture	B-Reagent
as	O
follows	O
:	O
95	B-Temperature
C	I-Temperature
for	O
5	B-Time
min	I-Time
,	O
ramp	B-Action
down	I-Action
to	O
50	B-Temperature
C	I-Temperature
at	O
0.1	B-Measure-Type
C/sec	I-Measure-Type
,	O
50	B-Temperature
C	I-Temperature
for	O
10	B-Time
min	I-Time
chill	B-Action
to	O
4	B-Temperature
C	I-Temperature
at	O
normal	B-Generic-Measure
ramp	I-Generic-Measure
speed	I-Generic-Measure
.	O

Mix	B-Action
the	O
following	B-Reagent
components	I-Reagent
to	O
ligate	B-Action
the	O
annealed	B-Modifier
oligos	B-Reagent
to	O
the	O
U6	B-Reagent
vector	I-Reagent
of	B-Modifier
choice	I-Modifier
(	O
pU6x-sgRNA	B-Reagent
#	O
1-	O
#	O
5	O
,	O
see	O
diagrams	O
and	O
plasmid	B-Reagent
list	O
in	O
the	O
Guidelines	O
)	O
.	O

Incubate	B-Action
at	O
37	B-Temperature
C	I-Temperature
for	O
20	B-Time
min	I-Time
.	O

Incubate	B-Action
at	O
16	B-Temperature
C	I-Temperature
for	O
15	B-Time
min	I-Time
.	O

Incubate	B-Action
at	O
37	B-Temperature
C	I-Temperature
for	O
10	B-Time
min	I-Time
.	O

Incubate	B-Action
at	O
55	B-Temperature
C	I-Temperature
for	O
15	B-Time
min	I-Time
.	O

Incubate	B-Action
at	O
80	B-Temperature
C	I-Temperature
for	O
15	B-Time
min	I-Time
(	O
optional	B-Modifier
)	O
.	O

The	O
reaction	B-Reagent
is	O
ready	B-Modifier
for	I-Modifier
transformation	I-Modifier
(	O
use	B-Action
2	B-Amount
l	I-Amount
of	O
the	O
ligation	B-Reagent
and	O
plate	B-Action
10	B-Numerical
%	I-Numerical
ofthe	O
transformants	B-Reagent
)	O
.	O

Transform	B-Action
and	O
spread	B-Action
onto	O
spectinomycin	B-Reagent
(	O
50	B-Concentration
g/ml	I-Concentration
)	O
plates	B-Location
.	O



