Quick	B-Method
Protocol	I-Method
for	O
Monarch	B-Device
DNA	I-Device
Gel	I-Device
Extraction	I-Device
Kit	I-Device
NEB	O
T1020	O

Excise	B-Action
the	O
DNA	B-Reagent
fragment	I-Reagent
from	O
the	O
agarose	B-Reagent
gel	I-Reagent
,	O
taking	O
care	O
to	O
trim	B-Action
excess	B-Modifier
agarose	B-Reagent
.	O

Transfer	B-Action
to	O
a	O
1	B-Size
.	I-Size
5	I-Size
ml	I-Size
microfuge	B-Location
tube	I-Location
and	O
weigh	B-Action
the	O
gel	B-Reagent
slice	I-Reagent
.	O

Minimize	B-Action
exposure	B-Modifier
to	I-Modifier
UV	I-Modifier
light	I-Modifier
.	O

Add	B-Action
4	B-Amount
volumes	I-Amount
of	O
Gel	B-Reagent
Dissolving	I-Reagent
Buffer	I-Reagent
to	O
the	O
gel	B-Reagent
slice	I-Reagent
e	O
.	O
g	O
.	O
,	O
400	B-Amount
l	I-Amount
buffer	I-Amount
per	B-Reagent
100	B-Modifier
l	B-Amount
or	I-Amount
100	I-Amount
mg	I-Amount
agarose	I-Amount
.	B-Reagent

Incubate	B-Action
the	O
sample	B-Reagent
between	B-Modifier
37	B-Temperature
55	I-Temperature
C	I-Temperature
typically	B-Modifier
50	I-Modifier
C	B-Temperature
,	I-Temperature
until	B-Modifier
the	I-Modifier
gel	I-Modifier
slice	I-Modifier
is	I-Modifier
completely	I-Modifier
dissolved	I-Modifier
generally	I-Modifier
5	I-Modifier
10	I-Modifier
minutes	B-Time
.	I-Time

The	O
time	B-Time
that	O
takes	O
a	O
gel	B-Reagent
slice	I-Reagent
to	O
melt	B-Action
depends	B-Modifier
on	I-Modifier
the	I-Modifier
size	I-Modifier
of	I-Modifier
the	I-Modifier
slice	I-Modifier
,	I-Modifier
the	I-Modifier
temperature	I-Modifier
used	I-Modifier
in	I-Modifier
the	I-Modifier
incubation	I-Modifier
as	I-Modifier
well	I-Modifier
as	I-Modifier
the	I-Modifier
percent	I-Modifier
agarose	I-Modifier
used	I-Modifier
in	I-Modifier
the	I-Modifier
gel	I-Modifier
.	O

The	O
time	B-Time
recommended	B-Modifier
above	I-Modifier
should	O
be	O
used	B-Action
just	B-Modifier
as	I-Modifier
a	I-Modifier
guideline	I-Modifier
.	O

Insert	B-Action
column	B-Location
into	O
collection	B-Location
tube	I-Location
and	O
load	B-Action
sample	B-Reagent
onto	O
the	O
column	B-Location
.	O

Spin	B-Action
for	O
1	B-Time
minute	I-Time
at	O
16	B-Speed
,	I-Speed
000	I-Speed
x	I-Speed
g	I-Speed
,	O
then	O
discard	B-Action
flow	B-Reagent
through	I-Reagent
.	I-Reagent

Re	B-Action
insert	I-Action
column	I-Action
into	B-Location
collection	I-Location
tube	I-Location
.	I-Location

Add	B-Action
200	B-Amount
l	I-Amount
DNA	B-Reagent
Wash	I-Reagent
Buffer	I-Reagent
with	O
ethanol	B-Reagent
added	I-Reagent
and	O
spin	B-Action
for	I-Action
1	O
minute	B-Time
at	I-Time
16	O
,	B-Speed
000	I-Speed
x	I-Speed
g	I-Speed
.	I-Speed

Discarding	B-Action
flow	B-Reagent
through	I-Reagent
is	I-Reagent
optional	B-Modifier
.	I-Modifier

Repeat	B-Action
Step	O
5	O
Step	O
5	O
Re	O
insert	B-Action
column	I-Action
into	B-Location
collection	I-Location
tube	I-Location
.	I-Location

Add	B-Action
200	B-Amount
l	I-Amount
DNA	B-Reagent
Wash	I-Reagent
Buffer	I-Reagent
and	O
spin	B-Action
for	O
1	B-Time
minute	I-Time
at	O
16	B-Speed
,	I-Speed
000	I-Speed
x	I-Speed
g	I-Speed
.	O

Discarding	B-Action
flow	B-Reagent
through	I-Reagent
is	I-Reagent
optional	B-Modifier
.	I-Modifier

Transfer	B-Action
column	B-Location
to	O
a	O
clean	O
1	B-Size
.	I-Size
5	I-Size
ml	I-Size
microfuge	B-Location
tube	I-Location
.	O

Use	B-Modifier
care	I-Modifier
to	O
ensure	B-Action
that	O
the	O
tip	B-Location
of	O
the	O
column	B-Location
does	B-Action
not	I-Action
come	I-Action
into	I-Action
contact	I-Action
with	O
the	O
flow	B-Reagent
through	I-Reagent
.	I-Reagent

If	B-Modifier
in	I-Modifier
doubt	I-Modifier
,	O
re	B-Action
spin	I-Action
for	I-Action
1	O
minute	B-Time
.	I-Time

Add	B-Action
6	B-Amount
l	I-Amount
of	O
DNA	B-Reagent
Elution	I-Reagent
Buffer	I-Reagent
to	O
the	O
center	B-Location
of	O
the	O
matrix	B-Location
.	O

Wait	B-Action
for	O
1	B-Time
minute	I-Time
,	O
and	O
spin	B-Action
for	O
1	B-Time
minute	I-Time
at	O
16	B-Speed
,	I-Speed
000	I-Speed
x	I-Speed
g	I-Speed
to	O
elute	B-Action
the	O
DNA	B-Reagent
.	O



