Methyltransferase	B-Method
Assay	I-Method

Set	B-Action
up	I-Action
the	O
assays	B-Reagent
,	O
to	O
contain	O
50	B-Amount
.	I-Amount
0	I-Amount
L	I-Amount
total	B-Modifier
per	I-Modifier
assay	B-Reagent
with	O
3	B-Amount
g	I-Amount
of	O
DNA	B-Reagent
and	O
2	B-Generic-Measure
Ci	I-Generic-Measure
of	O
Adenosyl	B-Reagent
L	I-Reagent
Methionine	I-Reagent
,	I-Reagent
S	I-Reagent
Methyl	I-Reagent
3H	I-Reagent
,	I-Reagent
and	I-Reagent
the	I-Reagent
enzyme	O
to	B-Reagent
be	I-Reagent
tested	I-Reagent
.	I-Reagent

Incubate	B-Action
the	O
assays	B-Reagent
at	O
37	B-Temperature
C	I-Temperature
for	O
2	B-Time
hours	I-Time
.	O

Add	B-Action
30	B-Amount
L	I-Amount
60	I-Amount
g	I-Amount
of	I-Amount
proteinase	B-Reagent
K	I-Reagent
to	I-Reagent
each	B-Modifier
assay	I-Modifier
.	B-Reagent

Incubate	B-Action
at	O
65	B-Temperature
C	I-Temperature
for	O
20	B-Time
min	I-Time
.	O

Add	B-Action
4	B-Amount
L	I-Amount
20	I-Amount
g	I-Amount
of	I-Amount
ss	O
salmon	B-Reagent
sperm	I-Reagent
DNA	I-Reagent
as	I-Reagent
a	O
carrier	O
.	O

Add	B-Action
an	O
equal	B-Amount
volume	I-Amount
84	I-Amount
L	I-Amount
of	I-Amount
20	O
TCA	B-Concentration
and	B-Reagent
incubate	B-Action
at	I-Action
4	I-Action
C	O
for	B-Temperature
10	O
min	B-Time
to	I-Time
precipitate	I-Time
the	B-Action
samples	B-Reagent
.	I-Reagent

Centrifuge	B-Action
the	O
assays	B-Reagent
in	O
the	O
microfuge	B-Device
for	O
5	B-Time
min	I-Time
at	O
4	B-Temperature
C	I-Temperature
.	O

Discard	B-Action
the	O
supernatants	B-Reagent
.	O

Wash	B-Action
the	O
pellets	B-Reagent
2X	B-Numerical
with	O
200	B-Amount
L	I-Amount
of	O
5	B-Concentration
TCA	I-Concentration
in	B-Reagent
the	O
microfuge	B-Device
for	I-Device
5	O
min	B-Time
at	I-Time
4	O
C	B-Temperature
.	I-Temperature

Resuspend	B-Action
the	O
pellets	B-Reagent
with	O
500	B-Amount
L	I-Amount
each	B-Modifier
of	O
500	B-Concentration
mM	I-Concentration
NaOH	B-Reagent
.	O

Incubate	B-Action
the	O
assays	B-Reagent
at	O
65	B-Temperature
C	I-Temperature
for	O
20	B-Time
min	I-Time
.	O

Precipitate	B-Action
the	O
samples	B-Reagent
with	O
500	B-Amount
L	I-Amount
of	O
20	B-Concentration
TCA	I-Concentration
for	B-Reagent
10	O
min	B-Time
at	I-Time
4	O
C	B-Temperature
.	I-Temperature

Centrifuge	B-Action
the	O
samples	B-Reagent
in	O
the	O
microfuge	B-Device
for	O
5	B-Time
min	I-Time
at	O
4	B-Temperature
C	I-Temperature
.	O

Wash	B-Action
the	O
pellets	B-Reagent
2X	B-Numerical
with	O
200	B-Amount
L	I-Amount
of	O
5	B-Concentration
TCA	I-Concentration
in	B-Reagent
the	O
microfuge	B-Device
for	I-Device
5	O
min	B-Time
at	I-Time
4	O
C	B-Temperature
.	I-Temperature

Resuspend	B-Action
the	O
pellet	B-Reagent
with	O
500	B-Amount
L	I-Amount
of	O
5	B-Concentration
TCA	I-Concentration
.	B-Reagent

Incubate	B-Action
in	O
boiling	B-Reagent
water	I-Reagent
for	O
30	B-Time
min	I-Time
loosen	B-Action
the	I-Action
caps	B-Seal
or	I-Seal
puncture	B-Action
the	I-Action
caps	B-Seal
of	I-Seal
the	O
tubes	B-Location
.	I-Location

Centrifuge	B-Action
the	O
samples	B-Reagent
in	O
the	O
microfuge	B-Device
for	O
5	B-Time
min	I-Time
at	O
4	B-Temperature
C	I-Temperature
to	O
remove	B-Action
the	O
insoluble	B-Reagent
material	I-Reagent
.	O

Count	B-Action
the	O
supernatants	B-Reagent
in	O
10	B-Amount
mL	I-Amount
of	O
triton	B-Reagent
toluene	I-Reagent
counting	I-Reagent
solution	I-Reagent
.	I-Reagent



