Protocol	B-Method
for	I-Method
SYBR	I-Method
Counts	I-Method
of	I-Method
Cyanophages	I-Method
and	I-Method
Bacteria	I-Method
Make	B-Action
dilutions	B-Reagent
of	O
the	O
sample	B-Reagent
(	O
s	O
)	O
.	O

Record	B-Action
volume	B-Measure-Type
of	O
samples	B-Reagent
used	B-Modifier
.	O

Custom	O
has	O
been	O
to	O
use	B-Action
20	B-Amount
l	I-Amount
of	O
phage	B-Reagent
stocks	I-Reagent
or	O
200	B-Amount
l	I-Amount
of	O
cells	B-Reagent
diluted	B-Action
to	O
2	B-Amount
ml	I-Amount
with	O
autoclaved	B-Modifier
seawater	B-Reagent
.	O

If	O
the	O
final	B-Modifier
slides	B-Location
appear	B-Action
too	B-Modifier
sparse	I-Modifier
or	I-Modifier
dense	I-Modifier
then	O
the	O
volume	B-Measure-Type
of	O
sample	B-Reagent
used	O
can	O
be	O
adjusted	B-Action
accordingly	B-Modifier
.	O

Remove	B-Action
the	O
10	B-Concentration
%	I-Concentration
SYBR	B-Reagent
and	O
phenylenediamine	B-Reagent
from	O
the	O
freezer	B-Device
.	O

Keep	B-Action
the	O
stocks	B-Reagent
away	B-Modifier
from	I-Modifier
light	I-Modifier
(	O
such	O
as	O
in	B-Location
a	I-Location
drawer	I-Location
)	O
while	O
they	B-Mention
are	O
thawing	B-Action
.	O

Connect	B-Action
the	O
glass	B-Device
flask	I-Device
to	O
the	O
vacuum	B-Device
pump	I-Device
.	O

Attach	B-Action
the	O
filter	B-Device
holder	I-Device
so	O
that	O
the	O
grout	B-Reagent
is	O
flat	B-Modifier
and	I-Modifier
level	I-Modifier
with	I-Modifier
the	I-Modifier
table	I-Modifier
.	O

Place	B-Action
a	O
0.8	B-Size
m	I-Size
filter	B-Device
on	O
top	B-Location
of	I-Location
the	I-Location
grout	I-Location
.	O

Make	B-Action
sure	I-Action
it	B-Mention
is	O
completely	B-Modifier
flat	I-Modifier
and	I-Modifier
centered	I-Modifier
,	O
with	O
no	B-Modifier
air	I-Modifier
bubbles	I-Modifier
underneath	B-Location
(	O
pre-wetting	B-Action
the	O
grout	B-Reagent
helps	O
)	O
.	O

This	O
filter	B-Device
can	O
be	O
used	B-Action
many	B-Modifier
times	I-Modifier
so	O
long	O
as	O
it	B-Mention
stays	B-Modifier
intact	I-Modifier
and	I-Modifier
flat	I-Modifier
.	O

Place	B-Action
the	O
0.02	B-Size
m	I-Size
filter	B-Device
on	O
top	O
of	O
the	O
0.8	B-Size
m	I-Size
filter	B-Location
.	O

Again	O
,	O
make	B-Action
sure	I-Action
it	B-Mention
is	O
flat	B-Modifier
and	I-Modifier
centered	I-Modifier
with	I-Modifier
no	I-Modifier
air	I-Modifier
bubbles	I-Modifier
underneath	I-Modifier
.	O

Turning	B-Action
on	I-Action
the	O
vacuum	B-Device
for	O
a	O
brief	B-Modifier
while	I-Modifier
can	O
help	O
achieve	B-Action
this	B-Mention
.	O

Clamp	B-Action
the	O
funnel	B-Device
on	O
top	B-Location
of	I-Location
the	I-Location
filters	I-Location
.	O

Add	B-Action
the	O
sample	B-Reagent
and	O
turn	B-Action
on	I-Action
the	O
pump	B-Mention
(	O
pressure	B-Measure-Type
should	O
be	O
~20	B-Generic-Measure
kPa	I-Generic-Measure
or	O
7	B-Generic-Measure
mmHg	I-Generic-Measure
)	O
.	O

After	B-Modifier
the	O
last	B-Modifier
liquid	B-Reagent
passes	B-Action
through	O
the	O
funnel	B-Device
and	O
clamp	B-Device
should	O
be	O
removed	B-Action
with	O
the	O
vacuum	B-Device
still	B-Modifier
on	I-Modifier
.	O

Turn	B-Action
off	I-Action
the	O
vacuum	B-Device
;	O
remove	B-Action
0.02	B-Size
m	I-Size
filter	B-Device
.	O

Keep	B-Action
track	I-Action
of	O
which	O
side	B-Location
of	O
the	O
filter	B-Device
is	B-Location
the	I-Location
top	I-Location
.	O

Blot	B-Action
out	I-Action
any	O
seawater	B-Reagent
on	O
the	O
bottom	B-Modifier
or	O
the	O
top	B-Modifier
plastic	B-Location
rim	I-Location
with	O
a	O
kimwipe	B-Device
.	O

It	O
is	O
very	B-Modifier
important	I-Modifier
to	O
make	B-Action
sure	I-Action
the	O
filters	B-Device
are	O
completely	B-Modifier
dry	I-Modifier
before	I-Modifier
continuing	B-Action
.	O

It	O
is	O
a	O
good	O
idea	O
to	O
rub	B-Action
the	O
back	B-Location
of	O
the	O
filter	B-Device
with	O
a	O
kimwipe	B-Device
and	O
then	O
stick	B-Action
it	B-Mention
in	O
a	O
dessicator	B-Device
(	O
we	O
used	O
a	O
makeshift	B-Modifier
box	B-Device
with	O
some	O
drying	O
rocks	O
)	O
for	O
a	O
few	B-Time
minutes	I-Time
.	O

Prepare	B-Action
a	O
100	B-Amount
L	I-Amount
drop	B-Modifier
of	O
SYBR	B-Reagent
,	O
made	B-Modifier
fresh	I-Modifier
from	O
2.5	B-Amount
L	I-Amount
10	B-Concentration
%	I-Concentration
stock	B-Reagent
+	O
97.5	B-Amount
L	I-Amount
0.02	B-Concentration
m	I-Concentration
filtered	B-Modifier
deionized	B-Reagent
water	I-Reagent
,	O
on	O
the	O
bottom	B-Location
of	O
a	O
plastic	B-Modifier
Petri	B-Location
dish	I-Location
.	O

Lay	B-Action
the	O
0.02	B-Size
Anodisc	B-Device
filters	I-Device
sample	B-Modifier
side	I-Modifier
up	I-Modifier
on	O
the	O
drops	O
of	O
the	O
SYBR	B-Reagent
staining	I-Reagent
solution	I-Reagent
for	O
15	B-Time
minutes	I-Time
in	O
a	O
dark	B-Modifier
drawer	B-Location
or	O
box	B-Location
.	O

While	B-Modifier
waiting	I-Modifier
it	O
may	O
be	O
a	O
good	O
time	O
to	O
prepare	B-Action
the	O
antifade	B-Reagent
solution	I-Reagent
.	O

Dry	B-Action
completely	B-Modifier
as	O
