DNA	B-Method
extraction	I-Method
from	O
plants	B-Reagent

Grind	B-Action
frozen	B-Modifier
plant	B-Reagent
material	I-Reagent
(100mg)	B-Amount
in	O
liquid	B-Reagent
Nitrogen.	I-Reagent

In	O
a	O
2	B-Amount
ml	I-Amount
tube,	B-Location
add	B-Action
800	B-Amount
uL	I-Amount
of	O
1,5x	B-Concentration
CTAB	B-Reagent
and	O
1	B-Amount
ul	I-Amount
of	O
Beta-mercaptoethanol	B-Reagent
to	O
the	O
ground	B-Modifier
leaf	B-Reagent
material.	I-Reagent

Incubate	B-Action
1	B-Time
hour	I-Time
at	O
60-65	B-Temperature
degrees	I-Temperature
(C).	O

Cool	B-Action
at	O
Room	B-Temperature
Temp.	I-Temperature

Add	B-Action
1	B-Amount
volume	I-Amount
of	O
Chloroform/Isoamylalkohol	B-Reagent
(24:1)	B-Generic-Measure
mixture.	O

Mix	B-Action
on	O
overhead	B-Device
shaker	I-Device
for	O
10	B-Time
minutes.	I-Time

Centrifuge	B-Action
at	O
3000	B-Speed
rmp	I-Speed
for	O
25	B-Time
minutes.	I-Time

Transfer	B-Action
supernatant	B-Reagent
to	O
a	O
new	B-Modifier
tube.	B-Location

Use	B-Action
wide	B-Modifier
pipette	B-Device
tips	I-Device
(cut	B-Action
point	B-Location
of	O
tips	B-Device
if	B-Modifier
needed).	I-Modifier

Add	B-Action
10	B-Amount
uL	I-Amount
RNAse	B-Reagent
(10	B-Concentration
mg/ml)	I-Concentration
incubate	B-Action
at	O
37	B-Temperature
degrees	I-Temperature
(C)	O
for	O
30	B-Time
minutes.	I-Time

Add	B-Action
one	B-Amount
volume	I-Amount
100%	B-Concentration
Isoponanol	B-Reagent
(pre-chilled	B-Action
at	O
-20).	B-Temperature

Allow	O
sample	B-Reagent
to	O
precepitate	B-Action
for	O
up	B-Modifier
to	I-Modifier
20	B-Time
minutes	I-Time
at	O
-20.	B-Temperature

Centrifuge	B-Action
at	O
full	B-Speed
speed	I-Speed
for	O
10	B-Time
minutes.	I-Time

Remove	B-Action
supernatant.	B-Reagent

Add	B-Action
1	B-Amount
ml	I-Amount
70%	B-Concentration
Ethanol.	B-Reagent

Centrifuge	B-Action
at	O
full	B-Speed
speed	I-Speed
for	O
10	B-Time
minutes.	I-Time

Remove	B-Action
Supernatant.	B-Reagent

Repeat	B-Action
once.	B-Numerical

Dry	B-Action
pellet	B-Reagent
in	B-Modifier
air	I-Modifier
or	O
approx	B-Modifier
20	B-Time
minutes	I-Time
in	O
vacuum	B-Device
centrifuge.	I-Device

Dissolve	B-Action
pallet	B-Reagent
in	O
1x	B-Concentration
TE	B-Reagent
(10	B-Concentration
mM	I-Concentration
Tris,	B-Reagent
pH8,	B-pH
1	B-Concentration
mM	I-Concentration
EDTA)	B-Reagent



