BL21	B-Method
Electro	I-Method
competent	I-Method
Prep	I-Method

Dilute	B-Action
5mL	B-Amount
O	B-Reagent
N	I-Reagent
into	I-Reagent
500mL	B-Amount
LB	I-Amount
.	B-Reagent

Grow	B-Action
to	O
OD	B-Generic-Measure
0	I-Generic-Measure
.	I-Generic-Measure
6	I-Generic-Measure
0	I-Generic-Measure
.	I-Generic-Measure
8	I-Generic-Measure
1	I-Generic-Measure
.	O
5	B-Time
3	I-Time
hours	I-Time
.	I-Time

Pour	B-Action
into	O
2x250mL	B-Amount
Centrifuge	B-Location
bottles	I-Location
.	O

Chill	B-Action
bottles	B-Location
on	O
ice	B-Location
for	O
10	B-Time
minutes	I-Time
.	O

Spin	B-Action
at	O
3000xg	B-Speed
for	O
20min	B-Time
at	O
4C	B-Temperature
.	O

Decant	B-Action
supernatant	B-Reagent
.	O

Resuspend	B-Action
combine	I-Action
pellets	I-Action
in	B-Reagent
250mL	B-Amount
pre	I-Amount
chilled	B-Modifier
10	I-Modifier
glycerol	B-Concentration
.	B-Reagent

Spin	B-Action
at	O
3000xg	B-Speed
for	O
20min	B-Time
at	O
4C	B-Temperature
.	O

Decant	B-Action
supernatant	B-Reagent
.	O

Resuspend	B-Action
pellet	B-Reagent
in	O
20mL	B-Amount
pre	B-Modifier
chilled	I-Modifier
10	B-Concentration
glycerol	I-Concentration
switch	B-Reagent
to	O
50mL	B-Amount
Falcon	I-Amount
Tube	B-Location
.	I-Location

Spin	B-Action
at	O
3000xg	B-Speed
for	O
20min	B-Time
at	O
4C	B-Temperature
.	O

Decant	B-Action
supernatant	B-Reagent
.	O

Resuspend	B-Action
in	O
3mL	B-Amount
pre	B-Modifier
chilled	I-Modifier
10	B-Concentration
glycerol	I-Concentration
.	B-Reagent

SNAP	B-Action
Freeze	I-Action
in	O
25	B-Amount
50uL	I-Amount
aliquots	B-Reagent
in	O
LN2	B-Reagent
.	O



